mechanic,time_to_fixation
CI+ER,4.0
CI+ER,3.0
CI+ER,3.0
CI+ER,4.0
CI+ER,3.0
CI+ER,3.0
CI+ER,3.0
CI+ER,5.0
CI+ER,3.0
CI+ER,3.0
CI+ER,5.0
CI+ER,4.0
CI+ER,3.0
CI+ER,5.0
CI+ER,3.0
CI+ER,3.0
CI+ER,4.0
CI+ER,4.0
CI+ER,4.0
CI+ER,4.0
CI+ER,4.0
CI+ER,4.0
CI+ER,4.0
CI+ER,4.0
CI+ER,3.0
CI+ER,4.0
CI+ER,3.0
CI+ER,4.0
CI+ER,3.0
CI+ER,4.0
CI+ER,3.0
CI+ER,4.0
CI+ER,4.0
CI+ER,4.0
CI+ER,3.0
CI+ER,3.0
CI+ER,4.0
CI+ER,4.0
CI+ER,4.0
CI+ER,4.0
CI+ER,3.0
CI+ER,4.0
CI+ER,4.0
CI+ER,3.0
CI+ER,5.0
CI+ER,4.0
CI+ER,3.0
CI+ER,3.0
CI+ER,3.0
CI+ER,6.0
CI+ER,4.0
CI+ER,4.0
CI+ER,5.0
CI+ER,3.0
CI+ER,5.0
CI+ER,3.0
CI+ER,5.0
CI+ER,4.0
CI+ER,4.0
CI+ER,3.0
CI+ER,4.0
CI+ER,4.0
CI+ER,4.0
CI+ER,6.0
CI+ER,3.0
CI+ER,4.0
CI+ER,4.0
CI+ER,5.0
CI+ER,3.0
CI+ER,4.0
MK+ER+IE,5.0
MK+ER+IE,5.0
MK+ER+IE,4.0
MK+ER+IE,6.0
MK+ER+IE,3.0
MK+ER+IE,6.0
MK+ER+IE,7.0
MK+ER+IE,5.0
MK+ER+IE,5.0
MK+ER+IE,5.0
MK+ER+IE,3.0
MK+ER+IE,6.0
MK+ER+IE,6.0
MK+ER+IE,4.0
MK+ER+IE,7.0
MK+ER+IE,6.0
MK+ER+IE,5.0
MK+ER+IE,4.0
MK+ER+IE,4.0
MK+ER+IE,4.0
MK+ER+IE,7.0
MK+ER+IE,5.0
MK+ER+IE,5.0
MK+ER+IE,4.0
MK+ER+IE,4.0
MK+ER+IE,5.0
MK+ER+IE,4.0
MK+ER+IE,5.0
MK+ER+IE,5.0
MK+ER+IE,4.0
MK+ER+IE,4.0
MK+ER+IE,5.0
MK+ER+IE,5.0
MK+ER+IE,5.0
MK+ER+IE,4.0
