mechanic,time_to_fixation
MK,8.0
MK,6.0
MK,11.0
MK,9.0
MK,
MK,6.0
MK,10.0
MK,12.0
MK,11.0
MK,6.0
MK,8.0
MK,8.0
MK,13.0
MK,9.0
MK,
MK,12.0
MK,9.0
MK,5.0
MK,7.0
MK,6.0
MK,8.0
MK,8.0
MK,10.0
MK,9.0
MK,6.0
MK,10.0
MK,6.0
MK,9.0
MK,
MK,7.0
MK,8.0
MK,7.0
MK,13.0
MK,7.0
MK,7.0
MK,
MK,7.0
MK,5.0
MK,8.0
MK,6.0
CI,4.0
CI,4.0
CI,4.0
CI,5.0
CI,6.0
CI,4.0
CI,4.0
CI,4.0
CI,5.0
CI,6.0
CI,4.0
CI,6.0
CI,3.0
CI,3.0
CI,4.0
CI,4.0
CI,4.0
CI,4.0
CI,6.0
CI,5.0
CI,5.0
CI,5.0
CI,4.0
CI,5.0
CI,7.0
CI,4.0
CI,6.0
CI,3.0
CI,4.0
CI,4.0
CI,5.0
CI,3.0
CI,5.0
CI,5.0
CI,4.0
CI,4.0
CI,4.0
CI,4.0
CI,4.0
CI,4.0
CI,4.0
CI,5.0
CI,5.0
CI,6.0
CI,3.0
CI,4.0
CI,7.0
CI,4.0
CI,5.0
CI,6.0
CI,4.0
CI,5.0
CI,4.0
CI,4.0
CI,5.0
CI,4.0
CI,6.0
CI,4.0
CI,4.0
CI,4.0
CI,3.0
CI,3.0
CI,3.0
CI,4.0
CI,4.0
CI,4.0
CI,6.0
CI,4.0
CI,4.0
CI,5.0
CI,5.0
CI,5.0
CI,3.0
CI,4.0
CI,4.0
CI,5.0
CI,4.0
CI,4.0
CI,5.0
CI,3.0
CI,3.0
CI,3.0
CI,4.0
CI,3.0
CI,4.0
CI,5.0
CI,4.0
CI,6.0
CI,4.0
CI,5.0
CI,4.0
CI,5.0
CI,4.0
CI,5.0
CI,5.0
CI,4.0
CI,4.0
CI,3.0
CI,3.0
CI,6.0
CI,4.0
CI,4.0
CI,8.0
CI,4.0
CI,5.0
CI,3.0
CI,3.0
CI,4.0
CI,4.0
CI,4.0
CI,4.0
CI,6.0
CI,5.0
CI,5.0
CI,4.0
CI,6.0
CI,5.0
CI,5.0
CI,6.0
CI,4.0
CI,3.0
CI,4.0
CI,5.0
CI,3.0
CI,4.0
CI,5.0
CI,4.0
CI,4.0
CI,4.0
CI,4.0
CI,6.0
CI,5.0
CI,4.0
CI,4.0
CI,5.0
CI,3.0
CI,5.0
CI,4.0
CI,6.0
CI,5.0
CI,3.0
CI,3.0
CI,5.0
CI,3.0
CI,4.0
CI,4.0
CI,5.0
CI,4.0
CI,4.0
CI,4.0
CI,5.0
CI,4.0
CI,4.0
CI,5.0
CI,3.0
CI,4.0
CI,5.0
CI,5.0
CI,4.0
CI,4.0
CI,4.0
CI,5.0
CI,4.0
CI,4.0
CI,4.0
CI,3.0
CI,5.0
CI,5.0
CI,5.0
CI,4.0
CI,3.0
CI,6.0
CI,4.0
CI,4.0
CI,6.0
CI,4.0
CI,3.0
CI,4.0
CI,3.0
CI,4.0
CI,4.0
CI,6.0
CI,3.0
CI,4.0
CI,5.0
CI,5.0
CI,3.0
CI,4.0
CI,4.0
CI,6.0
CI,5.0
CI,3.0
CI,3.0
CI,5.0
CI,5.0
CI,5.0
CI,4.0
CI,5.0
CI,4.0
CI,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,2.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
