mechanic,replicate,time_to_fixation
MK,69,8.0
MK,70,7.0
MK,71,10.0
MK,72,8.0
MK,73,11.0
MK,74,8.0
MK,75,10.0
MK,76,
MK,77,10.0
MK,78,8.0
MK,79,5.0
MK,80,4.0
MK,81,5.0
MK,82,9.0
MK,83,7.0
MK,84,8.0
MK,85,9.0
MK,86,9.0
MK,87,10.0
MK,88,11.0
MK,89,8.0
MK,90,
MK,91,8.0
MK,92,9.0
MK,93,6.0
MK,94,8.0
MK,95,9.0
MK,96,7.0
MK,97,8.0
MK,98,8.0
MK,99,7.0
MK,100,5.0
MK,101,8.0
MK,102,
MK,103,
MK,104,13.0
MK,105,8.0
MK,106,7.0
MK,107,10.0
MK,108,
MK,109,9.0
MK,110,7.0
MK,111,
MK,112,7.0
MK,113,8.0
MK,114,11.0
MK,115,7.0
MK,116,10.0
MK,117,9.0
MK,118,8.0
MK,119,8.0
MK,120,9.0
MK,121,9.0
MK,122,6.0
MK,123,11.0
MK,124,6.0
MK,125,5.0
MK,126,9.0
MK,127,7.0
MK,128,10.0
MK,129,10.0
MK,130,13.0
MK,131,8.0
MK,132,9.0
MK,133,9.0
MK,134,9.0
MK,135,10.0
MK,136,6.0
MK,137,9.0
MK,138,8.0
MK,139,6.0
MK,140,7.0
MK,141,7.0
MK,142,9.0
MK,143,12.0
MK,144,7.0
MK,145,9.0
MK,146,12.0
MK,147,10.0
MK,148,6.0
MK,149,7.0
MK,150,10.0
MK,151,7.0
MK,152,11.0
MK,153,9.0
MK,154,7.0
MK,155,8.0
MK,156,8.0
MK,157,11.0
MK,158,7.0
MK,159,8.0
MK,160,8.0
MK,161,6.0
MK,162,11.0
MK,163,9.0
MK,164,
MK,165,6.0
MK,166,10.0
MK,167,12.0
MK,168,11.0
MK,169,6.0
MK,170,8.0
MK,171,8.0
MK,172,13.0
MK,173,9.0
MK,174,
MK,175,12.0
MK,176,9.0
MK,177,5.0
MK,178,7.0
MK,179,6.0
MK,180,8.0
MK,181,8.0
MK,182,10.0
MK,183,9.0
MK,184,6.0
MK,185,10.0
MK,186,6.0
MK,187,9.0
MK,188,
MK,189,7.0
MK,190,8.0
MK,191,7.0
MK,192,13.0
MK,193,7.0
MK,194,7.0
MK,195,
MK,196,7.0
MK,197,5.0
MK,198,8.0
MK,199,6.0
MK+IE,0,7.0
MK+IE,1,5.0
MK+IE,2,9.0
MK+IE,3,8.0
MK+IE,4,5.0
MK+IE,5,5.0
MK+IE,6,6.0
MK+IE,7,7.0
MK+IE,8,6.0
MK+IE,9,6.0
MK+IE,10,7.0
MK+IE,11,8.0
MK+IE,12,6.0
MK+IE,13,6.0
MK+IE,14,11.0
MK+IE,15,8.0
MK+IE,16,7.0
MK+IE,17,8.0
MK+IE,18,7.0
MK+IE,19,6.0
MK+IE,20,6.0
MK+IE,21,7.0
MK+IE,22,5.0
MK+IE,23,6.0
MK+IE,24,5.0
MK+IE,25,9.0
MK+IE,26,8.0
MK+IE,27,8.0
MK+IE,28,8.0
MK+IE,29,5.0
MK+IE,30,6.0
MK+IE,31,6.0
MK+IE,32,6.0
MK+IE,33,8.0
MK+IE,34,8.0
MK+IE,35,5.0
MK+IE,36,7.0
MK+IE,37,5.0
MK+IE,38,5.0
MK+IE,39,5.0
MK+IE,40,7.0
MK+IE,41,6.0
MK+IE,42,9.0
MK+IE,43,4.0
MK+IE,44,8.0
MK+IE,45,5.0
MK+IE,46,6.0
MK+IE,47,8.0
MK+IE,48,10.0
MK+IE,49,5.0
MK+IE,50,9.0
MK+IE,51,9.0
MK+IE,52,6.0
MK+IE,53,8.0
MK+IE,54,4.0
MK+IE,55,4.0
MK+IE,56,4.0
MK+IE,57,6.0
MK+IE,58,5.0
MK+IE,59,5.0
MK+IE,60,7.0
MK+IE,61,6.0
MK+IE,62,8.0
MK+IE,63,5.0
MK+IE,64,10.0
MK+IE,65,7.0
MK+IE,66,7.0
MK+IE,67,7.0
MK+IE,68,7.0
MK+IE,69,5.0
MK+IE,70,5.0
MK+IE,71,8.0
MK+IE,72,7.0
MK+IE,73,10.0
MK+IE,74,6.0
MK+IE,75,6.0
MK+IE,76,6.0
MK+IE,77,4.0
MK+IE,78,9.0
MK+IE,79,5.0
MK+IE,80,7.0
MK+IE,81,7.0
MK+IE,82,13.0
MK+IE,83,6.0
MK+IE,84,5.0
MK+IE,85,5.0
MK+IE,86,6.0
MK+IE,87,6.0
MK+IE,88,7.0
MK+IE,89,8.0
MK+IE,90,8.0
MK+IE,91,5.0
MK+IE,92,9.0
MK+IE,93,5.0
MK+IE,94,6.0
