mechanic,replicate,reached_fixation
ER+IE,52,1
ER+IE,53,1
ER+IE,54,1
ER+IE,55,1
ER+IE,56,1
ER+IE,57,1
ER+IE,58,1
ER+IE,59,1
ER+IE,60,1
ER+IE,61,1
ER+IE,62,1
ER+IE,63,1
ER+IE,64,1
ER+IE,65,1
ER+IE,66,1
ER+IE,67,1
ER+IE,68,1
ER+IE,69,1
ER+IE,70,1
ER+IE,71,1
ER+IE,72,1
ER+IE,73,1
ER+IE,74,1
ER+IE,75,1
ER+IE,76,1
ER+IE,77,1
ER+IE,78,1
ER+IE,79,1
ER+IE,80,1
ER+IE,81,1
ER+IE,82,1
ER+IE,83,1
ER+IE,84,1
ER+IE,85,1
ER+IE,86,1
ER+IE,87,1
ER+IE,88,1
ER+IE,89,1
ER+IE,90,1
ER+IE,91,1
ER+IE,92,1
ER+IE,93,1
ER+IE,94,1
ER+IE,95,1
ER+IE,96,1
ER+IE,97,1
ER+IE,98,1
ER+IE,99,1
ER+IE,100,1
ER+IE,101,1
ER+IE,102,1
ER+IE,103,1
ER+IE,104,1
ER+IE,105,1
ER+IE,106,1
ER+IE,107,1
ER+IE,108,1
ER+IE,109,1
ER+IE,110,1
ER+IE,111,1
ER+IE,112,1
ER+IE,113,1
ER+IE,114,1
ER+IE,115,1
ER+IE,116,1
ER+IE,117,1
ER+IE,118,1
ER+IE,119,1
ER+IE,120,1
ER+IE,121,1
ER+IE,122,1
ER+IE,123,1
ER+IE,124,0
ER+IE,125,1
ER+IE,126,1
ER+IE,127,1
ER+IE,128,1
ER+IE,129,1
ER+IE,130,1
ER+IE,131,1
ER+IE,132,1
ER+IE,133,1
ER+IE,134,1
ER+IE,135,1
ER+IE,136,1
ER+IE,137,1
ER+IE,138,1
ER+IE,139,1
ER+IE,140,1
ER+IE,141,1
ER+IE,142,1
ER+IE,143,1
ER+IE,144,1
ER+IE,145,1
ER+IE,146,1
ER+IE,147,1
ER+IE,148,1
ER+IE,149,1
ER+IE,150,1
ER+IE,151,1
ER+IE,152,1
ER+IE,153,1
ER+IE,154,1
ER+IE,155,1
ER+IE,156,1
ER+IE,157,1
ER+IE,158,1
ER+IE,159,1
ER+IE,160,1
ER+IE,161,1
ER+IE,162,1
ER+IE,163,1
ER+IE,164,1
ER+IE,165,1
ER+IE,166,1
ER+IE,167,1
ER+IE,168,1
ER+IE,169,1
ER+IE,170,1
ER+IE,171,0
ER+IE,172,1
ER+IE,173,1
ER+IE,174,1
ER+IE,175,1
ER+IE,176,1
ER+IE,177,1
ER+IE,178,1
ER+IE,179,1
ER+IE,180,1
ER+IE,181,1
ER+IE,182,1
ER+IE,183,1
ER+IE,184,1
ER+IE,185,1
ER+IE,186,1
ER+IE,187,1
ER+IE,188,1
ER+IE,189,1
ER+IE,190,1
ER+IE,191,1
ER+IE,192,1
ER+IE,193,1
ER+IE,194,1
ER+IE,195,1
ER+IE,196,1
ER+IE,197,1
ER+IE,198,1
ER+IE,199,1
CI+ER,0,1
CI+ER,1,1
CI+ER,2,1
CI+ER,3,1
CI+ER,4,1
CI+ER,5,1
CI+ER,6,1
CI+ER,7,1
CI+ER,8,1
CI+ER,9,1
CI+ER,10,1
CI+ER,11,1
CI+ER,12,1
CI+ER,13,1
CI+ER,14,1
CI+ER,15,1
CI+ER,16,1
CI+ER,17,1
CI+ER,18,1
CI+ER,19,1
CI+ER,20,1
CI+ER,21,1
CI+ER,22,1
CI+ER,23,1
CI+ER,24,1
CI+ER,25,1
CI+ER,26,1
CI+ER,27,1
CI+ER,28,1
CI+ER,29,1
CI+ER,30,1
CI+ER,31,1
CI+ER,32,1
CI+ER,33,1
CI+ER,34,1
CI+ER,35,1
CI+ER,36,1
CI+ER,37,1
CI+ER,38,1
CI+ER,39,1
CI+ER,40,1
CI+ER,41,1
CI+ER,42,1
CI+ER,43,1
CI+ER,44,1
CI+ER,45,1
CI+ER,46,1
CI+ER,47,1
CI+ER,48,1
CI+ER,49,1
CI+ER,50,1
CI+ER,51,1
CI+ER,52,1
CI+ER,53,1
CI+ER,54,1
CI+ER,55,1
CI+ER,56,1
CI+ER,57,1
CI+ER,58,1
CI+ER,59,1
CI+ER,60,1
CI+ER,61,1
CI+ER,62,1
CI+ER,63,1
CI+ER,64,1
CI+ER,65,1
CI+ER,66,1
CI+ER,67,1
CI+ER,68,1
CI+ER,69,1
CI+ER,70,1
CI+ER,71,1
CI+ER,72,1
CI+ER,73,1
CI+ER,74,1
CI+ER,75,1
CI+ER,76,1
CI+ER,77,1
CI+ER,78,1
CI+ER,79,1
CI+ER,80,1
CI+ER,81,1
CI+ER,82,1
CI+ER,83,1
CI+ER,84,1
CI+ER,85,1
CI+ER,86,1
CI+ER,87,1
CI+ER,88,1
CI+ER,89,1
CI+ER,90,1
CI+ER,91,1
CI+ER,92,1
CI+ER,93,1
CI+ER,94,1
CI+ER,95,1
CI+ER,96,1
CI+ER,97,1
CI+ER,98,1
CI+ER,99,1
CI+ER,100,1
CI+ER,101,1
CI+ER,102,1
CI+ER,103,1
CI+ER,104,1
CI+ER,105,1
CI+ER,106,1
CI+ER,107,1
CI+ER,108,1
CI+ER,109,1
CI+ER,110,1
CI+ER,111,1
CI+ER,112,1
CI+ER,113,1
CI+ER,114,1
CI+ER,115,1
CI+ER,116,1
CI+ER,117,1
CI+ER,118,1
CI+ER,119,1
CI+ER,120,1
CI+ER,121,1
CI+ER,122,1
CI+ER,123,1
CI+ER,124,1
CI+ER,125,1
CI+ER,126,1
CI+ER,127,1
CI+ER,128,1
CI+ER,129,1
CI+ER,130,1
CI+ER,131,1
CI+ER,132,1
CI+ER,133,1
CI+ER,134,1
CI+ER,135,1
CI+ER,136,1
CI+ER,137,1
CI+ER,138,1
CI+ER,139,1
CI+ER,140,1
CI+ER,141,1
CI+ER,142,1
CI+ER,143,1
CI+ER,144,1
CI+ER,145,1
CI+ER,146,1
CI+ER,147,1
CI+ER,148,1
CI+ER,149,1
CI+ER,150,1
CI+ER,151,1
CI+ER,152,1
CI+ER,153,1
CI+ER,154,1
CI+ER,155,1
CI+ER,156,1
CI+ER,157,1
CI+ER,158,1
CI+ER,159,1
CI+ER,160,1
CI+ER,161,1
CI+ER,162,1
CI+ER,163,1
CI+ER,164,1
CI+ER,165,1
CI+ER,166,1
CI+ER,167,1
CI+ER,168,1
CI+ER,169,1
CI+ER,170,1
CI+ER,171,1
CI+ER,172,1
CI+ER,173,1
CI+ER,174,1
CI+ER,175,1
CI+ER,176,1
CI+ER,177,1
CI+ER,178,1
CI+ER,179,1
CI+ER,180,1
CI+ER,181,1
CI+ER,182,1
CI+ER,183,1
CI+ER,184,1
CI+ER,185,1
CI+ER,186,1
CI+ER,187,1
CI+ER,188,1
CI+ER,189,1
CI+ER,190,1
CI+ER,191,1
CI+ER,192,1
CI+ER,193,1
CI+ER,194,1
CI+ER,195,1
CI+ER,196,1
CI+ER,197,1
CI+ER,198,1
CI+ER,199,1
CI+ER+IE,0,1
CI+ER+IE,1,1
CI+ER+IE,2,1
CI+ER+IE,3,1
CI+ER+IE,4,1
CI+ER+IE,5,1
CI+ER+IE,6,1
CI+ER+IE,7,1
CI+ER+IE,8,1
CI+ER+IE,9,1
CI+ER+IE,10,1
CI+ER+IE,11,1
CI+ER+IE,12,1
CI+ER+IE,13,1
CI+ER+IE,14,1
CI+ER+IE,15,1
CI+ER+IE,16,1
CI+ER+IE,17,1
CI+ER+IE,18,1
CI+ER+IE,19,1
CI+ER+IE,20,1
CI+ER+IE,21,1
CI+ER+IE,22,1
CI+ER+IE,23,1
CI+ER+IE,24,1
CI+ER+IE,25,1
CI+ER+IE,26,1
CI+ER+IE,27,1
CI+ER+IE,28,1
CI+ER+IE,29,1
CI+ER+IE,30,1
CI+ER+IE,31,1
CI+ER+IE,32,1
CI+ER+IE,33,1
CI+ER+IE,34,1
CI+ER+IE,35,1
CI+ER+IE,36,1
CI+ER+IE,37,1
CI+ER+IE,38,1
CI+ER+IE,39,1
CI+ER+IE,40,1
CI+ER+IE,41,1
CI+ER+IE,42,1
CI+ER+IE,43,1
CI+ER+IE,44,1
CI+ER+IE,45,1
CI+ER+IE,46,1
CI+ER+IE,47,1
CI+ER+IE,48,1
CI+ER+IE,49,1
CI+ER+IE,50,1
CI+ER+IE,51,1
CI+ER+IE,52,1
CI+ER+IE,53,1
CI+ER+IE,54,1
CI+ER+IE,55,1
CI+ER+IE,56,1
CI+ER+IE,57,1
CI+ER+IE,58,1
CI+ER+IE,59,1
CI+ER+IE,60,1
CI+ER+IE,61,1
CI+ER+IE,62,1
CI+ER+IE,63,1
CI+ER+IE,64,1
CI+ER+IE,65,1
CI+ER+IE,66,1
CI+ER+IE,67,1
CI+ER+IE,68,1
CI+ER+IE,69,1
CI+ER+IE,70,1
CI+ER+IE,71,1
CI+ER+IE,72,1
CI+ER+IE,73,1
CI+ER+IE,74,1
CI+ER+IE,75,1
CI+ER+IE,76,1
CI+ER+IE,77,1
CI+ER+IE,78,1
CI+ER+IE,79,1
CI+ER+IE,80,1
CI+ER+IE,81,1
CI+ER+IE,82,1
CI+ER+IE,83,1
CI+ER+IE,84,1
CI+ER+IE,85,1
CI+ER+IE,86,1
CI+ER+IE,87,1
CI+ER+IE,88,1
CI+ER+IE,89,1
CI+ER+IE,90,1
CI+ER+IE,91,1
CI+ER+IE,92,1
CI+ER+IE,93,1
CI+ER+IE,94,1
CI+ER+IE,95,1
CI+ER+IE,96,1
CI+ER+IE,97,1
CI+ER+IE,98,1
CI+ER+IE,99,1
CI+ER+IE,100,1
CI+ER+IE,101,1
CI+ER+IE,102,1
CI+ER+IE,103,1
CI+ER+IE,104,1
CI+ER+IE,105,1
CI+ER+IE,106,1
CI+ER+IE,107,1
CI+ER+IE,108,1
CI+ER+IE,109,1
