mechanic,replicate,final_infection_rate
ER+IE,153,1.0
ER+IE,154,1.0
ER+IE,155,1.0
ER+IE,156,1.0
ER+IE,157,1.0
ER+IE,158,1.0
ER+IE,159,1.0
ER+IE,160,1.0
ER+IE,161,1.0
ER+IE,162,1.0
ER+IE,163,1.0
ER+IE,164,1.0
ER+IE,165,1.0
ER+IE,166,1.0
ER+IE,167,1.0
ER+IE,168,1.0
ER+IE,169,1.0
ER+IE,170,1.0
ER+IE,171,1.0
ER+IE,172,0.86
ER+IE,173,1.0
ER+IE,174,1.0
ER+IE,175,1.0
ER+IE,176,1.0
ER+IE,177,1.0
ER+IE,178,1.0
ER+IE,179,1.0
ER+IE,180,1.0
ER+IE,181,1.0
ER+IE,182,1.0
ER+IE,183,1.0
ER+IE,184,1.0
ER+IE,185,1.0
ER+IE,186,1.0
ER+IE,187,1.0
ER+IE,188,1.0
ER+IE,189,1.0
ER+IE,190,1.0
ER+IE,191,1.0
ER+IE,192,1.0
ER+IE,193,1.0
ER+IE,194,1.0
ER+IE,195,1.0
ER+IE,196,1.0
ER+IE,197,1.0
ER+IE,198,1.0
ER+IE,199,1.0
MK,0,1.0
MK,1,1.0
MK,2,1.0
MK,3,1.0
MK,4,1.0
MK,5,1.0
MK,6,1.0
MK,7,1.0
MK,8,1.0
MK,9,1.0
MK,10,1.0
MK,11,1.0
MK,12,1.0
MK,13,1.0
MK,14,1.0
MK,15,1.0
MK,16,1.0
MK,17,1.0
MK,18,1.0
MK,19,1.0
MK,20,1.0
MK,21,1.0
MK,22,1.0
MK,23,1.0
MK,24,1.0
MK,25,0.96
MK,26,1.0
MK,27,1.0
MK,28,1.0
MK,29,0.92
MK,30,1.0
MK,31,1.0
MK,32,1.0
MK,33,1.0
MK,34,1.0
MK,35,1.0
MK,36,1.0
MK,37,1.0
MK,38,1.0
MK,39,1.0
MK,40,1.0
MK,41,1.0
MK,42,1.0
MK,43,0.94
MK,44,1.0
MK,45,1.0
MK,46,1.0
MK,47,1.0
MK,48,1.0
MK,49,1.0
MK,50,1.0
MK,51,1.0
MK,52,1.0
MK,53,1.0
MK,54,1.0
MK,55,1.0
MK,56,1.0
MK,57,1.0
MK,58,1.0
MK,59,1.0
MK,60,1.0
MK,61,1.0
MK,62,1.0
MK,63,1.0
MK,64,1.0
MK,65,1.0
MK,66,1.0
MK,67,1.0
MK,68,1.0
MK,69,1.0
MK,70,1.0
MK,71,1.0
MK,72,1.0
MK,73,1.0
MK,74,1.0
MK,75,1.0
MK,76,0.96
MK,77,1.0
MK,78,1.0
MK,79,1.0
MK,80,1.0
MK,81,1.0
MK,82,1.0
MK,83,1.0
MK,84,1.0
MK,85,1.0
MK,86,1.0
MK,87,1.0
MK,88,1.0
MK,89,1.0
MK,90,0.96
MK,91,1.0
MK,92,1.0
MK,93,1.0
MK,94,1.0
MK,95,1.0
MK,96,1.0
MK,97,1.0
MK,98,1.0
MK,99,1.0
MK,100,1.0
MK,101,1.0
MK,102,0.96
MK,103,0.96
MK,104,1.0
MK,105,1.0
MK,106,1.0
MK,107,1.0
MK,108,0.96
MK,109,1.0
MK,110,1.0
MK,111,0.92
MK,112,1.0
MK,113,1.0
MK,114,1.0
MK,115,1.0
MK,116,1.0
MK,117,1.0
MK,118,1.0
MK,119,1.0
MK,120,1.0
MK,121,1.0
MK,122,1.0
MK,123,1.0
MK,124,1.0
MK,125,1.0
MK,126,1.0
MK,127,1.0
MK,128,1.0
MK,129,1.0
MK,130,1.0
MK,131,1.0
MK,132,1.0
MK,133,1.0
MK,134,1.0
MK,135,1.0
MK,136,1.0
MK,137,1.0
MK,138,1.0
MK,139,1.0
MK,140,1.0
MK,141,1.0
MK,142,1.0
MK,143,1.0
MK,144,1.0
MK,145,1.0
MK,146,1.0
MK,147,1.0
MK,148,1.0
MK,149,1.0
MK,150,1.0
MK,151,1.0
MK,152,1.0
MK,153,1.0
MK,154,1.0
MK,155,1.0
MK,156,1.0
MK,157,1.0
MK,158,1.0
MK,159,1.0
MK,160,1.0
MK,161,1.0
MK,162,1.0
MK,163,1.0
MK,164,0.96
MK,165,1.0
MK,166,1.0
MK,167,1.0
MK,168,1.0
MK,169,1.0
MK,170,1.0
MK,171,1.0
MK,172,1.0
MK,173,1.0
MK,174,0.86
MK,175,1.0
MK,176,1.0
MK,177,1.0
MK,178,1.0
MK,179,1.0
MK,180,1.0
MK,181,1.0
MK,182,1.0
MK,183,1.0
MK,184,1.0
MK,185,1.0
MK,186,1.0
MK,187,1.0
MK,188,0.92
MK,189,1.0
MK,190,1.0
MK,191,1.0
MK,192,1.0
MK,193,1.0
MK,194,1.0
MK,195,0.9
MK,196,1.0
MK,197,1.0
MK,198,1.0
MK,199,1.0
MK+IE,0,1.0
MK+IE,1,1.0
MK+IE,2,1.0
MK+IE,3,1.0
MK+IE,4,1.0
MK+IE,5,1.0
MK+IE,6,1.0
MK+IE,7,1.0
MK+IE,8,1.0
MK+IE,9,1.0
MK+IE,10,1.0
MK+IE,11,1.0
MK+IE,12,1.0
MK+IE,13,1.0
MK+IE,14,1.0
MK+IE,15,1.0
MK+IE,16,1.0
MK+IE,17,1.0
MK+IE,18,1.0
MK+IE,19,1.0
MK+IE,20,1.0
MK+IE,21,1.0
MK+IE,22,1.0
MK+IE,23,1.0
MK+IE,24,1.0
MK+IE,25,1.0
MK+IE,26,1.0
MK+IE,27,1.0
MK+IE,28,1.0
MK+IE,29,1.0
MK+IE,30,1.0
MK+IE,31,1.0
MK+IE,32,1.0
MK+IE,33,1.0
MK+IE,34,1.0
MK+IE,35,1.0
MK+IE,36,1.0
MK+IE,37,1.0
MK+IE,38,1.0
MK+IE,39,1.0
MK+IE,40,1.0
MK+IE,41,1.0
MK+IE,42,1.0
MK+IE,43,1.0
MK+IE,44,1.0
MK+IE,45,1.0
MK+IE,46,1.0
MK+IE,47,1.0
MK+IE,48,1.0
MK+IE,49,1.0
MK+IE,50,1.0
MK+IE,51,1.0
MK+IE,52,1.0
MK+IE,53,1.0
MK+IE,54,1.0
MK+IE,55,1.0
MK+IE,56,1.0
MK+IE,57,1.0
MK+IE,58,1.0
MK+IE,59,1.0
MK+IE,60,1.0
MK+IE,61,1.0
MK+IE,62,1.0
MK+IE,63,1.0
MK+IE,64,1.0
MK+IE,65,1.0
MK+IE,66,1.0
MK+IE,67,1.0
MK+IE,68,1.0
MK+IE,69,1.0
MK+IE,70,1.0
MK+IE,71,1.0
MK+IE,72,1.0
MK+IE,73,1.0
MK+IE,74,1.0
MK+IE,75,1.0
MK+IE,76,1.0
MK+IE,77,1.0
MK+IE,78,1.0
MK+IE,79,1.0
MK+IE,80,1.0
MK+IE,81,1.0
MK+IE,82,1.0
MK+IE,83,1.0
MK+IE,84,1.0
MK+IE,85,1.0
MK+IE,86,1.0
MK+IE,87,1.0
MK+IE,88,1.0
MK+IE,89,1.0
MK+IE,90,1.0
MK+IE,91,1.0
MK+IE,92,1.0
MK+IE,93,1.0
MK+IE,94,1.0
MK+IE,95,1.0
MK+IE,96,1.0
MK+IE,97,1.0
MK+IE,98,1.0
MK+IE,99,1.0
MK+IE,100,1.0
MK+IE,101,1.0
MK+IE,102,1.0
MK+IE,103,1.0
MK+IE,104,1.0
MK+IE,105,1.0
MK+IE,106,1.0
MK+IE,107,1.0
MK+IE,108,1.0
MK+IE,109,0.98
MK+IE,110,1.0
MK+IE,111,1.0
MK+IE,112,1.0
MK+IE,113,1.0
MK+IE,114,1.0
MK+IE,115,1.0
MK+IE,116,1.0
MK+IE,117,1.0
MK+IE,118,1.0
MK+IE,119,1.0
MK+IE,120,1.0
MK+IE,121,1.0
MK+IE,122,1.0
MK+IE,123,1.0
MK+IE,124,1.0
MK+IE,125,1.0
MK+IE,126,1.0
MK+IE,127,1.0
MK+IE,128,1.0
MK+IE,129,1.0
MK+IE,130,1.0
MK+IE,131,1.0
MK+IE,132,1.0
MK+IE,133,1.0
MK+IE,134,1.0
MK+IE,135,1.0
MK+IE,136,1.0
MK+IE,137,1.0
MK+IE,138,1.0
MK+IE,139,1.0
MK+IE,140,1.0
MK+IE,141,1.0
MK+IE,142,1.0
MK+IE,143,1.0
MK+IE,144,1.0
MK+IE,145,1.0
MK+IE,146,1.0
MK+IE,147,1.0
MK+IE,148,1.0
MK+IE,149,1.0
MK+IE,150,1.0
MK+IE,151,1.0
MK+IE,152,1.0
MK+IE,153,1.0
MK+IE,154,1.0
MK+IE,155,1.0
MK+IE,156,1.0
MK+IE,157,1.0
MK+IE,158,1.0
MK+IE,159,1.0
MK+IE,160,1.0
MK+IE,161,1.0
MK+IE,162,1.0
MK+IE,163,1.0
MK+IE,164,1.0
MK+IE,165,1.0
MK+IE,166,1.0
MK+IE,167,1.0
MK+IE,168,1.0
MK+IE,169,1.0
MK+IE,170,1.0
MK+IE,171,1.0
MK+IE,172,1.0
MK+IE,173,1.0
MK+IE,174,1.0
MK+IE,175,1.0
MK+IE,176,1.0
MK+IE,177,1.0
MK+IE,178,1.0
MK+IE,179,1.0
MK+IE,180,1.0
