mechanic,replicate,final_infected_count
ER+IE,47,11845
ER+IE,48,15153
ER+IE,49,13143
ER+IE,50,15051
ER+IE,51,15446
ER+IE,52,13926
ER+IE,53,14487
ER+IE,54,14702
ER+IE,55,13451
ER+IE,56,12986
ER+IE,57,14887
ER+IE,58,13742
ER+IE,59,13910
ER+IE,60,14264
ER+IE,61,14037
ER+IE,62,15974
ER+IE,63,11179
ER+IE,64,15744
ER+IE,65,14456
ER+IE,66,14930
ER+IE,67,13238
ER+IE,68,13975
ER+IE,69,15041
ER+IE,70,14290
ER+IE,71,14947
ER+IE,72,13511
ER+IE,73,13915
ER+IE,74,12683
ER+IE,75,14745
ER+IE,76,15341
ER+IE,77,14797
ER+IE,78,12714
ER+IE,79,15854
ER+IE,80,14616
ER+IE,81,14301
ER+IE,82,15215
ER+IE,83,14549
ER+IE,84,15195
ER+IE,85,15090
ER+IE,86,16770
ER+IE,87,14337
ER+IE,88,15121
ER+IE,89,14589
ER+IE,90,14511
ER+IE,91,13678
ER+IE,92,12529
ER+IE,93,14611
ER+IE,94,14176
ER+IE,95,13345
ER+IE,96,14990
ER+IE,97,15523
ER+IE,98,13042
ER+IE,99,14400
ER+IE,100,13639
ER+IE,101,13873
ER+IE,102,15440
ER+IE,103,13796
ER+IE,104,15789
ER+IE,105,13397
ER+IE,106,12973
ER+IE,107,15540
ER+IE,108,12683
ER+IE,109,15418
ER+IE,110,15870
ER+IE,111,13014
ER+IE,112,13351
ER+IE,113,13563
ER+IE,114,13897
ER+IE,115,17451
ER+IE,116,13910
ER+IE,117,13148
ER+IE,118,14781
ER+IE,119,13218
ER+IE,120,11493
ER+IE,121,15483
ER+IE,122,16563
ER+IE,123,14909
ER+IE,124,14319
ER+IE,125,14185
ER+IE,126,12876
ER+IE,127,14876
ER+IE,128,15267
ER+IE,129,14882
ER+IE,130,14581
ER+IE,131,13997
ER+IE,132,14443
ER+IE,133,14829
ER+IE,134,12862
ER+IE,135,14993
ER+IE,136,11294
ER+IE,137,10850
ER+IE,138,13059
ER+IE,139,16182
ER+IE,140,14458
ER+IE,141,12977
ER+IE,142,14794
ER+IE,143,14683
ER+IE,144,13215
ER+IE,145,15382
ER+IE,146,14571
ER+IE,147,14095
ER+IE,148,14155
ER+IE,149,14802
ER+IE,150,14009
ER+IE,151,14319
ER+IE,152,14392
ER+IE,153,12786
ER+IE,154,15654
ER+IE,155,10728
ER+IE,156,14151
ER+IE,157,15934
ER+IE,158,15458
ER+IE,159,14802
ER+IE,160,14895
ER+IE,161,12873
ER+IE,162,15545
ER+IE,163,13682
ER+IE,164,14686
ER+IE,165,14454
ER+IE,166,14798
ER+IE,167,16400
ER+IE,168,15344
ER+IE,169,14639
ER+IE,170,13973
ER+IE,171,11100
ER+IE,172,16646
ER+IE,173,14243
ER+IE,174,13296
ER+IE,175,12393
ER+IE,176,12270
ER+IE,177,13190
ER+IE,178,15167
ER+IE,179,13644
ER+IE,180,14097
ER+IE,181,14290
ER+IE,182,14018
ER+IE,183,15129
ER+IE,184,14683
ER+IE,185,14255
ER+IE,186,15584
ER+IE,187,12954
ER+IE,188,14539
ER+IE,189,13914
ER+IE,190,12806
ER+IE,191,15472
ER+IE,192,16672
ER+IE,193,14242
ER+IE,194,12048
ER+IE,195,15600
ER+IE,196,15319
ER+IE,197,13065
ER+IE,198,13062
ER+IE,199,17804
MK,0,14936
MK,1,16212
MK,2,16116
MK,3,14817
MK,4,15529
MK,5,16474
MK,6,15930
MK,7,17919
MK,8,14788
MK,9,16915
MK,10,16897
MK,11,14751
MK,12,14880
MK,13,16766
MK,14,11202
MK,15,15405
MK,16,15342
MK,17,12723
MK,18,16071
MK,19,15479
MK,20,15476
MK,21,13489
MK,22,17277
MK,23,15523
MK,24,14752
MK,25,16556
MK,26,17176
MK,27,16107
MK,28,14594
MK,29,15931
MK,30,15889
MK,31,16683
MK,32,15594
MK,33,14977
MK,34,15080
MK,35,15871
MK,36,14263
MK,37,16721
MK,38,15022
MK,39,15543
MK,40,15764
MK,41,15553
MK,42,14687
MK,43,16303
MK,44,13122
MK,45,17600
MK,46,15934
MK,47,16059
MK,48,15830
MK,49,13726
MK,50,14512
MK,51,16650
MK,52,15444
MK,53,15098
MK,54,15723
MK,55,15704
MK,56,16250
MK,57,16239
MK,58,17188
MK,59,14277
MK,60,16130
MK,61,15212
MK,62,16489
MK,63,9510
MK,64,15686
MK,65,16407
MK,66,15536
MK,67,17933
MK,68,16944
MK,69,16470
MK,70,15926
MK,71,15434
MK,72,15298
MK,73,15700
MK,74,14528
MK,75,13952
MK,76,15361
MK,77,15397
MK,78,15693
MK,79,16096
MK,80,15897
MK,81,15508
MK,82,16141
MK,83,16718
MK,84,15938
MK,85,14293
MK,86,16693
MK,87,14710
MK,88,15840
MK,89,16943
MK,90,11763
MK,91,17962
MK,92,15045
MK,93,14435
MK,94,13765
MK,95,15843
MK,96,16614
MK,97,15539
MK,98,16257
MK,99,17592
MK,100,16559
MK,101,16374
MK,102,17512
MK,103,14984
MK,104,17149
MK,105,16434
MK,106,16887
MK,107,14704
MK,108,15826
MK,109,15554
MK,110,17084
MK,111,16219
MK,112,16670
MK,113,13478
MK,114,16797
MK,115,13436
MK,116,17058
MK,117,15157
MK,118,16658
MK,119,17484
MK,120,16131
MK,121,16144
MK,122,15785
MK,123,14348
MK,124,16572
MK,125,15165
MK,126,16790
MK,127,15895
MK,128,16422
MK,129,14671
MK,130,14360
MK,131,13186
MK,132,13790
MK,133,14304
MK,134,15684
MK,135,12881
MK,136,15851
MK,137,16341
MK,138,16557
MK,139,13982
MK,140,15928
MK,141,14167
MK,142,15075
MK,143,13356
MK,144,14860
MK,145,15385
MK,146,15417
MK,147,15671
MK,148,16143
MK,149,15462
MK,150,15322
MK,151,16539
MK,152,15444
MK,153,16764
MK,154,14544
MK,155,16905
MK,156,16683
MK,157,16473
MK,158,15064
MK,159,15266
MK,160,15027
MK,161,13937
MK,162,14552
MK,163,15678
MK,164,16430
MK,165,17520
MK,166,15488
MK,167,18051
MK,168,17082
MK,169,14170
MK,170,17075
MK,171,16679
MK,172,12123
MK,173,13997
MK,174,14846
MK,175,14250
MK,176,15148
MK,177,15828
MK,178,13688
MK,179,14810
MK,180,16895
MK,181,16855
MK,182,15712
MK,183,15100
MK,184,16326
MK,185,16173
MK,186,15590
MK,187,17127
MK,188,15594
MK,189,14624
MK,190,15412
MK,191,16951
MK,192,17870
MK,193,18139
MK,194,14405
MK,195,17075
MK,196,14682
MK,197,16567
MK,198,16701
MK,199,15318
MK+IE,0,17971
MK+IE,1,17699
MK+IE,2,18570
MK+IE,3,16794
MK+IE,4,18517
MK+IE,5,17897
MK+IE,6,18252
MK+IE,7,16963
MK+IE,8,17521
MK+IE,9,17098
MK+IE,10,18331
MK+IE,11,18327
MK+IE,12,18052
MK+IE,13,15436
MK+IE,14,18109
MK+IE,15,16097
MK+IE,16,18205
MK+IE,17,17419
MK+IE,18,17972
MK+IE,19,18396
MK+IE,20,17696
MK+IE,21,17402
MK+IE,22,17660
MK+IE,23,16552
MK+IE,24,18029
MK+IE,25,17561
MK+IE,26,18436
MK+IE,27,17558
MK+IE,28,17714
MK+IE,29,17349
MK+IE,30,16741
MK+IE,31,16077
MK+IE,32,17122
MK+IE,33,16487
MK+IE,34,17725
MK+IE,35,16147
MK+IE,36,17438
MK+IE,37,17708
MK+IE,38,18274
MK+IE,39,16765
MK+IE,40,18011
MK+IE,41,16524
MK+IE,42,17343
MK+IE,43,15791
MK+IE,44,16794
MK+IE,45,17195
MK+IE,46,17533
MK+IE,47,17486
MK+IE,48,17680
MK+IE,49,17365
MK+IE,50,17053
MK+IE,51,17822
MK+IE,52,17448
MK+IE,53,18124
MK+IE,54,17202
MK+IE,55,18405
MK+IE,56,18025
MK+IE,57,18121
MK+IE,58,17366
MK+IE,59,17448
MK+IE,60,17386
MK+IE,61,16527
MK+IE,62,16784
MK+IE,63,17605
MK+IE,64,18242
MK+IE,65,18663
MK+IE,66,17131
MK+IE,67,18914
MK+IE,68,18432
MK+IE,69,16700
MK+IE,70,18378
MK+IE,71,18101
MK+IE,72,15616
MK+IE,73,16552
MK+IE,74,16879
MK+IE,75,16484
MK+IE,76,17440
MK+IE,77,17788
MK+IE,78,16610
MK+IE,79,17310
MK+IE,80,18337
MK+IE,81,18336
MK+IE,82,17606
MK+IE,83,17163
MK+IE,84,17928
MK+IE,85,18085
MK+IE,86,17795
MK+IE,87,18359
MK+IE,88,17516
MK+IE,89,16987
MK+IE,90,17407
MK+IE,91,18311
MK+IE,92,18882
MK+IE,93,19029
MK+IE,94,17021
MK+IE,95,18149
MK+IE,96,16623
MK+IE,97,17870
MK+IE,98,18348
MK+IE,99,17483
MK+IE,100,17570
MK+IE,101,17833
MK+IE,102,17724
MK+IE,103,16724
MK+IE,104,17866
MK+IE,105,18269
MK+IE,106,16571
MK+IE,107,18373
MK+IE,108,17997
MK+IE,109,17180
MK+IE,110,16884
MK+IE,111,17908
MK+IE,112,17694
MK+IE,113,17610
MK+IE,114,17188
MK+IE,115,18164
MK+IE,116,16998
MK+IE,117,16995
MK+IE,118,16446
MK+IE,119,16197
MK+IE,120,17753
MK+IE,121,17495
MK+IE,122,17364
MK+IE,123,17349
MK+IE,124,17074
MK+IE,125,17014
MK+IE,126,17329
MK+IE,127,17881
MK+IE,128,18233
MK+IE,129,16987
MK+IE,130,17978
MK+IE,131,17584
MK+IE,132,18028
MK+IE,133,17363
