mechanic,replicate,final_population_size
ER+IE,20,19922
ER+IE,21,19954
ER+IE,22,19875
ER+IE,23,19942
ER+IE,24,19911
ER+IE,25,19940
ER+IE,26,19955
ER+IE,27,19969
ER+IE,28,19941
ER+IE,29,19944
ER+IE,30,19920
ER+IE,31,19910
ER+IE,32,19910
ER+IE,33,19974
ER+IE,34,19982
ER+IE,35,19952
ER+IE,36,19959
ER+IE,37,19950
ER+IE,38,19951
ER+IE,39,19924
ER+IE,40,19938
ER+IE,41,19998
ER+IE,42,19932
ER+IE,43,19972
ER+IE,44,19941
ER+IE,45,19923
ER+IE,46,19930
ER+IE,47,19900
ER+IE,48,19932
ER+IE,49,19886
ER+IE,50,19902
ER+IE,51,19961
ER+IE,52,19929
ER+IE,53,19966
ER+IE,54,19993
ER+IE,55,19895
ER+IE,56,19917
ER+IE,57,19919
ER+IE,58,19887
ER+IE,59,19960
ER+IE,60,19899
ER+IE,61,19977
ER+IE,62,19968
ER+IE,63,19855
ER+IE,64,19920
ER+IE,65,19948
ER+IE,66,19887
ER+IE,67,19916
ER+IE,68,19966
ER+IE,69,19922
ER+IE,70,19934
ER+IE,71,19958
ER+IE,72,19996
ER+IE,73,19867
ER+IE,74,19879
ER+IE,75,19926
ER+IE,76,19937
ER+IE,77,19887
ER+IE,78,19895
ER+IE,79,19962
ER+IE,80,19928
ER+IE,81,19985
ER+IE,82,19947
ER+IE,83,19932
ER+IE,84,19973
ER+IE,85,19953
ER+IE,86,19963
ER+IE,87,19989
ER+IE,88,19980
ER+IE,89,19916
ER+IE,90,19983
ER+IE,91,19962
ER+IE,92,19965
ER+IE,93,19983
ER+IE,94,19921
ER+IE,95,19964
ER+IE,96,19948
ER+IE,97,19871
ER+IE,98,19934
ER+IE,99,19967
ER+IE,100,19813
ER+IE,101,19951
ER+IE,102,19932
ER+IE,103,19887
ER+IE,104,19975
ER+IE,105,19916
ER+IE,106,19923
ER+IE,107,19975
ER+IE,108,19953
ER+IE,109,19990
ER+IE,110,19904
ER+IE,111,19967
ER+IE,112,19960
ER+IE,113,19919
ER+IE,114,19973
ER+IE,115,20000
ER+IE,116,19935
ER+IE,117,19884
ER+IE,118,19924
ER+IE,119,19886
ER+IE,120,19912
ER+IE,121,19882
ER+IE,122,19931
ER+IE,123,19940
ER+IE,124,19986
ER+IE,125,19913
ER+IE,126,19911
ER+IE,127,19973
ER+IE,128,19974
ER+IE,129,19980
ER+IE,130,19945
ER+IE,131,19966
ER+IE,132,19958
ER+IE,133,19984
ER+IE,134,19906
ER+IE,135,19936
ER+IE,136,19868
ER+IE,137,19941
ER+IE,138,19907
ER+IE,139,19932
ER+IE,140,19977
ER+IE,141,19967
ER+IE,142,19938
ER+IE,143,19963
ER+IE,144,19973
ER+IE,145,19888
ER+IE,146,19980
ER+IE,147,19922
ER+IE,148,19954
ER+IE,149,19944
ER+IE,150,19923
ER+IE,151,19899
ER+IE,152,19906
ER+IE,153,19903
ER+IE,154,19988
ER+IE,155,19879
ER+IE,156,19873
ER+IE,157,19947
ER+IE,158,19968
ER+IE,159,19887
ER+IE,160,19899
ER+IE,161,19942
ER+IE,162,19950
ER+IE,163,19941
ER+IE,164,19914
ER+IE,165,19969
ER+IE,166,19932
ER+IE,167,19966
ER+IE,168,19909
ER+IE,169,19973
ER+IE,170,19981
ER+IE,171,19938
ER+IE,172,19970
ER+IE,173,19882
ER+IE,174,19851
ER+IE,175,19872
ER+IE,176,19871
ER+IE,177,19996
ER+IE,178,19981
ER+IE,179,19993
ER+IE,180,19969
ER+IE,181,19939
ER+IE,182,19911
ER+IE,183,19984
