mechanic,final_infection_rate
MK,0.63615
MK,0.80355
MK,0.77395
MK,0.7738
MK,0.674551
MK,0.86385
MK,0.77615
MK,0.7376
MK,0.827841
MK,0.8588
MK,0.80535
MK,0.7297
MK,0.79663
MK,0.79445
MK,0.83415
MK,0.7797
MK,0.74885
MK,0.754
MK,0.79355
MK,0.713221
MK,0.836092
MK,0.7511
MK,0.77715
MK,0.7882
MK,0.77765
MK,0.734387
MK,0.81515
MK,0.6561
MK,0.88
MK,0.79678
MK,0.80295
MK,0.79154
MK,0.686334
MK,0.7256
MK,0.8325
MK,0.7722
MK,0.7549
MK,0.78615
MK,0.7852
MK,0.812541
MK,0.812234
MK,0.8594
MK,0.71385
MK,0.806581
MK,0.7606
MK,0.82445
MK,0.475762
MK,0.7843
MK,0.820432
MK,0.7768
MK,0.89665
MK,0.847285
MK,0.823541
MK,0.7963
MK,0.771739
MK,0.764976
MK,0.785079
MK,0.726436
MK,0.6976
MK,0.76805
MK,0.76985
MK,0.78465
MK,0.8048
MK,0.79485
MK,0.775516
MK,0.80705
MK,0.8359
MK,0.7969
MK,0.714864
MK,0.83465
MK,0.735574
MK,0.792079
MK,0.84715
MK,0.58815
MK,0.8981
MK,0.752476
MK,0.72175
MK,0.688319
MK,0.79215
MK,0.8307
MK,0.7773
MK,0.812972
MK,0.8796
MK,0.82795
MK,0.8187
MK,0.875644
MK,0.7492
MK,0.85745
MK,0.8217
MK,0.84435
MK,0.735237
MK,0.7913
MK,0.777856
MK,0.8542
MK,0.81095
MK,0.833583
MK,0.674001
MK,0.839892
MK,0.6718
MK,0.852943
MK,0.75785
MK,0.8329
MK,0.874287
MK,0.80655
MK,0.8072
MK,0.78925
MK,0.717723
MK,0.8286
MK,0.75825
MK,0.8395
MK,0.79479
MK,0.8211
MK,0.73355
MK,0.718
MK,0.6593
MK,0.689569
MK,0.715236
MK,0.784239
MK,0.644308
MK,0.79255
MK,0.817091
MK,0.82785
MK,0.699135
MK,0.7964
MK,0.708385
MK,0.75375
MK,0.6678
MK,0.743
MK,0.769288
MK,0.77085
MK,0.783628
MK,0.80715
MK,0.773216
MK,0.766138
MK,0.82695
MK,0.7722
MK,0.8382
MK,0.727236
MK,0.845335
MK,0.834192
MK,0.823815
MK,0.7532
MK,0.763338
MK,0.751388
MK,0.69685
MK,0.7276
MK,0.783939
MK,0.8215
MK,0.876
MK,0.7744
MK,0.90255
MK,0.854228
MK,0.708606
MK,0.85375
MK,0.83395
MK,0.60615
MK,0.700095
MK,0.742486
MK,0.712643
MK,0.757438
MK,0.7914
MK,0.684468
MK,0.740611
MK,0.84475
MK,0.842792
MK,0.7856
MK,0.755
MK,0.816382
MK,0.80865
MK,0.7795
MK,0.856436
MK,0.7797
MK,0.731273
MK,0.770793
MK,0.847635
MK,0.8935
MK,0.906995
MK,0.72025
MK,0.85375
MK,0.73421
MK,0.82835
MK,0.83505
MK,0.765977
CI,0.924344
CI,0.869272
CI,0.882756
CI,0.945785
CI,0.957139
CI,0.8347
CI,0.858917
CI,0.952478
CI,0.898539
CI,0.801138
CI,0.973325
CI,0.856512
CI,0.825457
CI,0.740748
CI,0.96055
CI,0.950107
CI,0.854621
CI,0.914139
CI,0.773896
CI,0.883649
CI,0.950507
CI,0.942078
CI,0.90196
CI,0.978189
CI,0.924521
CI,0.975861
CI,0.853572
CI,0.857497
CI,0.947862
CI,0.827328
CI,0.757891
CI,0.923018
CI,0.888638
CI,0.912496
CI,0.964578
CI,0.95544
CI,0.925153
CI,0.942498
CI,0.893866
CI,0.867593
CI,0.802963
CI,0.953932
CI,0.962293
CI,0.833677
CI,0.89959
CI,0.963654
CI,0.914231
CI,0.828947
CI,0.925519
CI,0.782007
CI,0.683379
CI,0.963086
CI,0.929386
CI,0.891581
CI,0.922994
CI,0.847212
CI,0.843184
CI,0.912095
CI,0.841833
CI,0.90986
CI,0.863243
CI,0.925225
CI,0.976503
CI,0.849482
CI,0.690562
CI,0.932532
CI,0.907964
CI,0.910148
CI,0.830408
CI,0.956626
CI,0.839162
CI,0.951988
CI,0.740908
CI,0.874884
CI,0.900718
CI,0.968841
CI,0.905108
CI,0.769211
CI,0.828775
CI,0.927199
CI,0.870015
CI,0.89838
CI,0.975715
CI,0.76615
CI,0.934583
CI,0.928301
CI,0.826179
CI,0.725415
CI,0.914258
CI,0.929063
CI,0.897184
CI,0.80864
CI,0.957241
CI,0.967702
CI,0.825086
CI,0.935257
CI,0.891644
CI,0.926596
CI,0.869283
CI,0.953407
CI,0.935832
CI,0.89442
CI,0.960794
CI,0.918717
CI,0.915441
CI,0.870747
CI,0.953978
CI,0.867546
CI,0.925346
CI,0.831257
CI,0.916018
CI,0.885669
CI,0.91139
CI,0.885227
CI,0.93962
CI,0.879626
CI,0.835913
CI,0.901866
CI,0.925419
CI,0.791032
CI,0.899831
CI,0.869929
CI,0.775757
CI,0.943046
CI,0.866078
CI,0.896001
CI,0.933788
CI,0.91752
CI,0.798731
CI,0.899759
CI,0.765479
CI,0.869969
CI,0.920742
CI,0.844365
CI,0.988933
CI,0.811098
CI,0.899191
CI,0.891433
CI,0.913464
CI,0.901927
CI,0.908554
CI,0.879864
CI,0.909895
CI,0.914059
CI,0.908238
CI,0.908458
CI,0.909944
CI,0.901849
CI,0.934302
CI,0.925177
CI,0.776204
CI,0.848713
CI,0.954718
CI,0.951916
CI,0.881333
CI,0.916692
CI,0.827769
CI,0.941893
CI,0.950395
CI,0.915913
CI,0.864844
CI,0.967965
CI,0.850563
CI,0.931047
CI,0.756783
CI,0.948006
CI,0.933501
CI,0.917629
CI,0.66111
CI,0.92998
CI,0.972385
CI,0.861604
CI,0.929246
CI,0.892303
CI,0.915202
CI,0.969249
CI,0.744151
CI,0.908652
CI,0.876986
CI,0.853772
CI,0.764703
CI,0.825357
CI,0.828257
CI,0.9642
CI,0.874023
CI,0.910556
CI,0.960134
CI,0.936153
CI,0.829431
CI,0.792954
CI,0.955729
CI,0.894691
CI,0.918626
CI,0.910196
CI,0.908723
CI,0.946129
CI,0.792482
CI,0.875378
CI,0.897004
CI,0.815519
CI+MK+ER+IE,0.9877
CI+MK+ER+IE,0.9785
CI+MK+ER+IE,0.991899
CI+MK+ER+IE,0.9907
CI+MK+ER+IE,0.98895
CI+MK+ER+IE,0.98505
CI+MK+ER+IE,0.9849
CI+MK+ER+IE,0.985949
CI+MK+ER+IE,0.98535
CI+MK+ER+IE,0.9848
CI+MK+ER+IE,0.9808
CI+MK+ER+IE,0.9978
CI+MK+ER+IE,0.9291
CI+MK+ER+IE,0.9937
CI+MK+ER+IE,0.9922
CI+MK+ER+IE,0.985399
CI+MK+ER+IE,0.9904
CI+MK+ER+IE,0.97045
CI+MK+ER+IE,0.97275
CI+MK+ER+IE,0.982798
CI+MK+ER+IE,0.98975
CI+MK+ER+IE,0.9723
CI+MK+ER+IE,0.9696
CI+MK+ER+IE,0.97895
CI+MK+ER+IE,0.98755
CI+MK+ER+IE,0.9862
CI+MK+ER+IE,0.97495
CI+MK+ER+IE,0.99285
CI+MK+ER+IE,0.9877
CI+MK+ER+IE,0.99125
CI+MK+ER+IE,0.984699
CI+MK+ER+IE,0.98075
CI+MK+ER+IE,0.9818
CI+MK+ER+IE,0.94585
CI+MK+ER+IE,0.99
CI+MK+ER+IE,0.98385
CI+MK+ER+IE,0.9923
CI+MK+ER+IE,0.9801
CI+MK+ER+IE,0.9968
CI+MK+ER+IE,0.96295
CI+MK+ER+IE,0.98505
CI+MK+ER+IE,0.99
CI+MK+ER+IE,0.98975
CI+MK+ER+IE,0.98915
CI+MK+ER+IE,0.965593
CI+MK+ER+IE,0.9553
CI+MK+ER+IE,0.97235
CI+MK+ER+IE,0.99205
CI+MK+ER+IE,0.98585
CI+MK+ER+IE,0.980649
CI+MK+ER+IE,0.98315
CI+MK+ER+IE,0.9857
CI+MK+ER+IE,0.99365
CI+MK+ER+IE,0.98845
CI+MK+ER+IE,0.989999
CI+MK+ER+IE,0.98495
CI+MK+ER+IE,0.9818
CI+MK+ER+IE,0.988049
CI+MK+ER+IE,0.9744
CI+MK+ER+IE,0.9695
CI+MK+ER+IE,0.98105
CI+MK+ER+IE,0.97185
CI+MK+ER+IE,0.9789
CI+MK+ER+IE,0.97935
CI+MK+ER+IE,0.99035
CI+MK+ER+IE,0.9923
CI+MK+ER+IE,0.9681
CI+MK+ER+IE,0.9768
CI+MK+ER+IE,0.97645
CI+MK+ER+IE,0.9784
CI+MK+ER+IE,0.9864
CI+MK+ER+IE,0.97565
CI+MK+ER+IE,0.98335
CI+MK+ER+IE,0.9871
CI+MK+ER+IE,0.9938
CI+MK+ER+IE,0.9821
CI+MK+ER+IE,0.99335
CI+MK+ER+IE,0.98885
CI+MK+ER+IE,0.98145
CI+MK+ER+IE,0.98895
CI+MK+ER+IE,0.973197
CI+MK+ER+IE,0.9673
CI+MK+ER+IE,0.985596
CI+MK+ER+IE,0.9734
CI+MK+ER+IE,0.98885
CI+MK+ER+IE,0.9782
CI+MK+ER+IE,0.9835
CI+MK+ER+IE,0.9907
CI+MK+ER+IE,0.9822
CI+MK+ER+IE,0.96725
CI+MK+ER+IE,0.98745
CI+MK+ER+IE,0.97675
CI+MK+ER+IE,0.97
CI+MK+ER+IE,0.9839
CI+MK+ER+IE,0.98805
CI+MK+ER+IE,0.97445
CI+MK+ER+IE,0.9765
CI+MK+ER+IE,0.991349
CI+MK+ER+IE,0.987149
CI+MK+ER+IE,0.9887
CI+MK+ER+IE,0.964996
CI+MK+ER+IE,0.9626
CI+MK+ER+IE,0.9909
CI+MK+ER+IE,0.9637
CI+MK+ER+IE,0.99345
CI+MK+ER+IE,0.9854
CI+MK+ER+IE,0.9744
CI+MK+ER+IE,0.9821
CI+MK+ER+IE,0.9909
CI+MK+ER+IE,0.98365
CI+MK+ER+IE,0.9814
CI+MK+ER+IE,0.9835
CI+MK+ER+IE,0.974
CI+MK+ER+IE,0.98385
CI+MK+ER+IE,0.99255
CI+MK+ER+IE,0.9854
CI+MK+ER+IE,0.98455
CI+MK+ER+IE,0.9891
CI+MK+ER+IE,0.97445
CI+MK+ER+IE,0.98555
CI+MK+ER+IE,0.9773
CI+MK+ER+IE,0.97735
CI+MK+ER+IE,0.9555
CI+MK+ER+IE,0.986499
CI+MK+ER+IE,0.99205
CI+MK+ER+IE,0.9885
CI+MK+ER+IE,0.9798
CI+MK+ER+IE,0.98895
CI+MK+ER+IE,0.9909
CI+MK+ER+IE,0.9798
CI+MK+ER+IE,0.99235
CI+MK+ER+IE,0.9808
CI+MK+ER+IE,0.98375
CI+MK+ER+IE,0.9917
CI+MK+ER+IE,0.97725
CI+MK+ER+IE,0.97795
CI+MK+ER+IE,0.9568
CI+MK+ER+IE,0.99095
CI+MK+ER+IE,0.99185
CI+MK+ER+IE,0.9897
CI+MK+ER+IE,0.98945
CI+MK+ER+IE,0.99515
CI+MK+ER+IE,0.98935
CI+MK+ER+IE,0.9791
CI+MK+ER+IE,0.980549
