mechanic,replicate,final_infection_rate
ER,114,0.710032
ER,115,0.660801
ER,116,0.665739
ER,117,0.687716
ER,118,0.74226
ER,119,0.737728
ER,120,0.612513
ER,121,0.594608
ER,122,0.463918
ER,123,0.508272
ER,124,0.596365
ER,125,0.732059
ER,126,0.524953
ER,127,0.67054
ER,128,0.644731
ER,129,0.529917
ER,130,0.439495
ER,131,0.582437
ER,132,0.527937
ER,133,0.710624
ER,134,0.523914
ER,135,0.557382
ER,136,0.580726
ER,137,0.661426
ER,138,0.594768
ER,139,0.670166
ER,140,0.599092
ER,141,0.584191
ER,142,0.557712
ER,143,0.727319
ER,144,0.763496
ER,145,0.630555
ER,146,0.551763
ER,147,0.462348
ER,148,0.622728
ER,149,0.49797
ER,150,0.664957
ER,151,0.682957
ER,152,0.566446
ER,153,0.616784
ER,154,0.624013
ER,155,0.550558
ER,156,0.486514
ER,157,0.610311
ER,158,0.504014
ER,159,0.586608
ER,160,0.594888
ER,161,0.562128
ER,162,0.689036
ER,163,0.468446
ER,164,0.670458
ER,165,0.577247
ER,166,0.655137
ER,167,0.546329
ER,168,0.588448
ER,169,0.629739
ER,170,0.604113
ER,171,0.62775
ER,172,0.557629
ER,173,0.542484
ER,174,0.486901
ER,175,0.590151
ER,176,0.663457
ER,177,0.60206
ER,178,0.49654
ER,179,0.728004
ER,180,0.588526
ER,181,0.572227
ER,182,0.646156
ER,183,0.611318
ER,184,0.664704
ER,185,0.638271
ER,186,0.729069
ER,187,0.592664
ER,188,0.634534
ER,189,0.613636
ER,190,0.605723
ER,191,0.57914
ER,192,0.51735
ER,193,0.603777
ER,194,0.618106
ER,195,0.501046
ER,196,0.656898
ER,197,0.67574
ER,198,0.498229
ER,199,0.603351
ER+IE,0,0.755144
ER+IE,1,0.725191
ER+IE,2,0.721537
ER+IE,3,0.771221
ER+IE,4,0.676813
ER+IE,5,0.707289
ER+IE,6,0.745348
ER+IE,7,0.647109
ER+IE,8,0.8062
ER+IE,9,0.763219
ER+IE,10,0.771052
ER+IE,11,0.769894
ER+IE,12,0.685318
ER+IE,13,0.83162
ER+IE,14,0.806668
ER+IE,15,0.752093
ER+IE,16,0.793748
ER+IE,17,0.822507
ER+IE,18,0.814692
ER+IE,19,0.830212
ER+IE,20,0.714587
ER+IE,21,0.714844
ER+IE,22,0.613585
ER+IE,23,0.639655
ER+IE,24,0.7304
ER+IE,25,0.820211
ER+IE,26,0.691005
ER+IE,27,0.801042
ER+IE,28,0.75949
ER+IE,29,0.684266
ER+IE,30,0.590863
ER+IE,31,0.708237
ER+IE,32,0.690507
ER+IE,33,0.807049
ER+IE,34,0.672956
ER+IE,35,0.701433
ER+IE,36,0.70224
ER+IE,37,0.765514
ER+IE,38,0.7347
ER+IE,39,0.766964
ER+IE,40,0.732621
ER+IE,41,0.69742
ER+IE,42,0.69421
ER+IE,43,0.821801
ER+IE,44,0.857329
ER+IE,45,0.769061
ER+IE,46,0.692373
ER+IE,47,0.595226
ER+IE,48,0.760235
ER+IE,49,0.660917
ER+IE,50,0.756256
ER+IE,51,0.773809
ER+IE,52,0.698781
ER+IE,53,0.725583
ER+IE,54,0.735357
ER+IE,55,0.6761
ER+IE,56,0.652006
ER+IE,57,0.747377
ER+IE,58,0.691004
ER+IE,59,0.696894
ER+IE,60,0.71682
ER+IE,61,0.702658
ER+IE,62,0.79998
ER+IE,63,0.563032
ER+IE,64,0.790361
ER+IE,65,0.724684
ER+IE,66,0.750742
ER+IE,67,0.664692
ER+IE,68,0.69994
ER+IE,69,0.754994
ER+IE,70,0.716866
ER+IE,71,0.748923
ER+IE,72,0.675685
ER+IE,73,0.700408
ER+IE,74,0.63801
ER+IE,75,0.739988
ER+IE,76,0.769474
ER+IE,77,0.744054
ER+IE,78,0.639055
ER+IE,79,0.794209
ER+IE,80,0.73344
ER+IE,81,0.715587
ER+IE,82,0.762771
ER+IE,83,0.729932
ER+IE,84,0.760777
ER+IE,85,0.756277
ER+IE,86,0.840054
ER+IE,87,0.717244
ER+IE,88,0.756807
ER+IE,89,0.732527
ER+IE,90,0.726167
ER+IE,91,0.685202
ER+IE,92,0.627548
ER+IE,93,0.731171
ER+IE,94,0.711611
ER+IE,95,0.668453
ER+IE,96,0.751454
ER+IE,97,0.781189
ER+IE,98,0.654259
ER+IE,99,0.72119
ER+IE,100,0.688386
ER+IE,101,0.695354
ER+IE,102,0.774634
ER+IE,103,0.69372
ER+IE,104,0.790438
ER+IE,105,0.672675
ER+IE,106,0.651157
ER+IE,107,0.777972
ER+IE,108,0.635644
ER+IE,109,0.771286
ER+IE,110,0.797327
ER+IE,111,0.651775
ER+IE,112,0.668888
ER+IE,113,0.680908
ER+IE,114,0.695789
ER+IE,115,0.87255
ER+IE,116,0.697768
ER+IE,117,0.661235
ER+IE,118,0.741869
ER+IE,119,0.664689
ER+IE,120,0.57719
ER+IE,121,0.778745
ER+IE,122,0.831017
ER+IE,123,0.747693
ER+IE,124,0.716452
ER+IE,125,0.712349
ER+IE,126,0.646678
ER+IE,127,0.744805
ER+IE,128,0.764344
ER+IE,129,0.744845
ER+IE,130,0.73106
ER+IE,131,0.701042
ER+IE,132,0.72367
ER+IE,133,0.742044
ER+IE,134,0.646137
ER+IE,135,0.752057
ER+IE,136,0.568452
ER+IE,137,0.544105
ER+IE,138,0.656
ER+IE,139,0.81186
ER+IE,140,0.723732
ER+IE,141,0.649922
ER+IE,142,0.742
ER+IE,143,0.735511
ER+IE,144,0.661643
ER+IE,145,0.773431
ER+IE,146,0.729279
ER+IE,147,0.707509
ER+IE,148,0.709382
ER+IE,149,0.742178
ER+IE,150,0.703157
ER+IE,151,0.719584
ER+IE,152,0.722998
ER+IE,153,0.642416
ER+IE,154,0.78317
ER+IE,155,0.539665
ER+IE,156,0.712072
ER+IE,157,0.798817
ER+IE,158,0.774139
ER+IE,159,0.744305
ER+IE,160,0.74853
ER+IE,161,0.645522
ER+IE,162,0.779198
ER+IE,163,0.686124
ER+IE,164,0.737471
ER+IE,165,0.723822
ER+IE,166,0.742424
ER+IE,167,0.821396
ER+IE,168,0.770707
ER+IE,169,0.732939
ER+IE,170,0.699314
ER+IE,171,0.556726
ER+IE,172,0.83355
ER+IE,173,0.716377
ER+IE,174,0.66979
ER+IE,175,0.623641
ER+IE,176,0.617483
ER+IE,177,0.659632
ER+IE,178,0.759071
ER+IE,179,0.682439
ER+IE,180,0.705944
ER+IE,181,0.716686
ER+IE,182,0.704033
ER+IE,183,0.757056
ER+IE,184,0.73529
ER+IE,185,0.713964
ER+IE,186,0.781819
ER+IE,187,0.647927
ER+IE,188,0.730199
ER+IE,189,0.698915
ER+IE,190,0.642678
ER+IE,191,0.774568
ER+IE,192,0.835983
ER+IE,193,0.716831
ER+IE,194,0.602701
ER+IE,195,0.78125
ER+IE,196,0.768525
ER+IE,197,0.654789
ER+IE,198,0.654573
ER+IE,199,0.892118
MK,0,0.746837
MK,1,0.810803
MK,2,0.8058
MK,3,0.740887
MK,4,0.77645
MK,5,0.823741
MK,6,0.79654
MK,7,0.89595
MK,8,0.7394
MK,9,0.84575
MK,10,0.84485
MK,11,0.73755
MK,12,0.744
MK,13,0.8383
MK,14,0.560128
MK,15,0.77025
MK,16,0.7671
MK,17,0.63615
MK,18,0.80355
MK,19,0.77395
MK,20,0.7738
MK,21,0.674551
MK,22,0.86385
MK,23,0.77615
MK,24,0.7376
MK,25,0.827841
MK,26,0.8588
MK,27,0.80535
MK,28,0.7297
MK,29,0.79663
MK,30,0.79445
MK,31,0.83415
MK,32,0.7797
MK,33,0.74885
MK,34,0.754
MK,35,0.79355
MK,36,0.713221
MK,37,0.836092
MK,38,0.7511
MK,39,0.77715
MK,40,0.7882
MK,41,0.77765
MK,42,0.734387
MK,43,0.81515
MK,44,0.6561
MK,45,0.88
MK,46,0.79678
MK,47,0.80295
MK,48,0.79154
MK,49,0.686334
MK,50,0.7256
MK,51,0.8325
MK,52,0.7722
MK,53,0.7549
MK,54,0.78615
MK,55,0.7852
MK,56,0.812541
MK,57,0.812234
MK,58,0.8594
MK,59,0.71385
MK,60,0.806581
MK,61,0.7606
MK,62,0.82445
MK,63,0.475762
MK,64,0.7843
MK,65,0.820432
MK,66,0.7768
MK,67,0.89665
MK,68,0.847285
MK,69,0.823541
MK,70,0.7963
MK,71,0.771739
MK,72,0.764976
MK,73,0.785079
MK,74,0.726436
MK,75,0.6976
MK,76,0.76805
MK,77,0.76985
MK,78,0.78465
MK,79,0.8048
MK,80,0.79485
MK,81,0.775516
MK,82,0.80705
MK,83,0.8359
MK,84,0.7969
MK,85,0.714864
MK,86,0.83465
MK,87,0.735574
MK,88,0.792079
MK,89,0.84715
MK,90,0.58815
MK,91,0.8981
MK,92,0.752476
MK,93,0.72175
MK,94,0.688319
MK,95,0.79215
MK,96,0.8307
MK,97,0.7773
MK,98,0.812972
MK,99,0.8796
MK,100,0.82795
MK,101,0.8187
MK,102,0.875644
MK,103,0.7492
MK,104,0.85745
MK,105,0.8217
MK,106,0.84435
MK,107,0.735237
MK,108,0.7913
MK,109,0.777856
MK,110,0.8542
MK,111,0.81095
MK,112,0.833583
MK,113,0.674001
MK,114,0.839892
MK,115,0.6718
MK,116,0.852943
MK,117,0.75785
MK,118,0.8329
MK,119,0.874287
MK,120,0.80655
MK,121,0.8072
MK,122,0.78925
MK,123,0.717723
MK,124,0.8286
MK,125,0.75825
MK,126,0.8395
MK,127,0.79479
MK,128,0.8211
MK,129,0.73355
MK,130,0.718
MK,131,0.6593
MK,132,0.689569
MK,133,0.715236
MK,134,0.784239
MK,135,0.644308
MK,136,0.79255
MK,137,0.817091
MK,138,0.82785
MK,139,0.699135
MK,140,0.7964
MK,141,0.708385
MK,142,0.75375
MK,143,0.6678
MK,144,0.743
MK,145,0.769288
MK,146,0.77085
MK,147,0.783628
MK,148,0.80715
MK,149,0.773216
MK,150,0.766138
MK,151,0.82695
MK,152,0.7722
MK,153,0.8382
MK,154,0.727236
MK,155,0.845335
MK,156,0.834192
MK,157,0.823815
MK,158,0.7532
MK,159,0.763338
MK,160,0.751388
MK,161,0.69685
MK,162,0.7276
MK,163,0.783939
MK,164,0.8215
MK,165,0.876
MK,166,0.7744
MK,167,0.90255
MK,168,0.854228
MK,169,0.708606
MK,170,0.85375
MK,171,0.83395
MK,172,0.60615
MK,173,0.700095
MK,174,0.742486
MK,175,0.712643
MK,176,0.757438
MK,177,0.7914
MK,178,0.684468
MK,179,0.740611
MK,180,0.84475
MK,181,0.842792
MK,182,0.7856
MK,183,0.755
MK,184,0.816382
MK,185,0.80865
MK,186,0.7795
MK,187,0.856436
MK,188,0.7797
MK,189,0.731273
MK,190,0.770793
MK,191,0.847635
MK,192,0.8935
MK,193,0.906995
MK,194,0.72025
MK,195,0.85375
MK,196,0.73421
MK,197,0.82835
MK,198,0.83505
MK,199,0.765977
MK+IE,0,0.89855
MK+IE,1,0.88495
MK+IE,2,0.9285
MK+IE,3,0.8397
MK+IE,4,0.92585
MK+IE,5,0.89485
MK+IE,6,0.9126
MK+IE,7,0.84815
MK+IE,8,0.87605
MK+IE,9,0.8549
MK+IE,10,0.91655
MK+IE,11,0.91635
MK+IE,12,0.902735
MK+IE,13,0.7718
MK+IE,14,0.90545
MK+IE,15,0.80485
MK+IE,16,0.91025
MK+IE,17,0.87095
MK+IE,18,0.8986
MK+IE,19,0.9198
MK+IE,20,0.8848
MK+IE,21,0.8701
MK+IE,22,0.883
MK+IE,23,0.8276
MK+IE,24,0.90145
MK+IE,25,0.87805
MK+IE,26,0.9218
MK+IE,27,0.8779
MK+IE,28,0.8857
MK+IE,29,0.86758
MK+IE,30,0.837092
MK+IE,31,0.80385
MK+IE,32,0.8561
MK+IE,33,0.82435
MK+IE,34,0.88625
MK+IE,35,0.80739
MK+IE,36,0.8719
MK+IE,37,0.8854
MK+IE,38,0.9137
MK+IE,39,0.838334
MK+IE,40,0.90055
MK+IE,41,0.8262
MK+IE,42,0.86715
MK+IE,43,0.78955
MK+IE,44,0.8397
MK+IE,45,0.85975
MK+IE,46,0.87665
MK+IE,47,0.8743
MK+IE,48,0.884
MK+IE,49,0.86825
MK+IE,50,0.85265
MK+IE,51,0.8911
MK+IE,52,0.8724
MK+IE,53,0.9062
MK+IE,54,0.8601
MK+IE,55,0.92025
MK+IE,56,0.90125
MK+IE,57,0.90605
MK+IE,58,0.8683
MK+IE,59,0.8724
MK+IE,60,0.8693
MK+IE,61,0.82635
MK+IE,62,0.8392
MK+IE,63,0.88025
MK+IE,64,0.9121
