genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-INT,F,1,free swimming,11-2018,1.2225709938217075,1.3132408479161972,2.328566458108395
rei-INT,F,18,free swimming,11-2018,1.680434427163787,1.762410569384561,3.856110443748132
rei-INT,F,7,free swimming,11-2018,1.3221654197835835,1.35547331736046,2.580127742492962
rei-INT,F,15,free swimming,11-2018,1.5275494480719483,1.5634924385360127,3.11006516426899
rei-INT,F,23,free swimming,11-2018,1.8780161646492743,1.8273178277904396,2.804974913113125
rei-INT,F,30,free swimming,11-2018,1.5275105868162369,1.5624990084050292,2.657870785977294
rei-INT,F,27,free swimming,11-2018,1.5154948047062566,1.6445723603551254,3.243127754630512
rei-INT,F,34,free swimming,11-2018,1.690452391187136,1.7125281665381897,3.0917359039929613
rei-INT,F,80,free swimming,11-2018,1.5658264287965287,1.6198551333307778,2.9813653822083515
rei-INT,F,19,free swimming,11-2018,1.0772105825741343,1.1681005049889917,2.2656831448951786
rei-INT,F,6,free swimming,11-2018,1.3347472833732121,1.3631145553605555,2.4900050109202794
rei-INT,F,38,free swimming,11-2018,1.2691923015614148,1.4116868790325423,3.7799288562168654
rei-INT,F,2,free swimming,11-2018,1.5425663812735095,1.449341735237374,2.425120532792194
rei-INT,F,24,free swimming,11-2018,1.3484552840392792,1.4005490196170247,2.4343580974511894
rei-INT,F,16,free swimming,11-2018,2.06474380865468,2.0583792208761986,4.044192660165399
rei-INT,F,9,free swimming,11-2018,1.6305007231462663,1.6233543316992765,2.7655160544970285
rei-INT,F,12,free swimming,11-2018,1.1977511991867784,1.2800696168809065,2.6824527082367675
rei-INT,F,5,free swimming,11-2018,1.5105812509844185,1.6819287402447292,3.199714985348045
rei-INT,F,28,free swimming,11-2018,1.6850033685062058,1.6763101441227903,2.959107900465692
rei-INT,F,70,free swimming,11-2018,1.9324497130821559,1.9544390718255835,3.2918189845461336
rei-INT,F,33,free swimming,11-2018,1.5133867769003762,1.6148590668012364,3.6139493005091543
rei-INT,F,37,free swimming,11-2018,1.2686869608636788,1.480444052459579,3.211543523073474
rei-INT,M,60,free swimming,11-2018,1.4609798604865403,1.6605962275886061,3.393102942867861
rei-INT,M,29,free swimming,11-2018,1.7832691065438815,1.8958692133245962,4.128073226674543
rei-INT,M,8,free swimming,11-2018,1.5433667781285074,1.5583456865587721,2.486946573371871
rei-INT,M,12,free swimming,11-2018,2.0310948860162426,2.0705523680323306,4.588888969813936
rei-INT,M,20,free swimming,11-2018,0.9395990317257369,0.9893600651696285,1.5371864729203284
rei-INT,M,13,free swimming,11-2018,1.2540179700452456,1.4420956922728791,3.487456307354564
rei-INT,M,25,free swimming,11-2018,1.6008718781061875,1.7382480697480902,3.211467858941907
rei-INT,M,2,free swimming,11-2018,1.23186791759831,1.325870380774826,2.5427498158631847
rei-INT,M,21,free swimming,11-2018,1.383426259646976,1.4944024238393212,3.3483073287144416
rei-INT,M,32,free swimming,11-2018,1.3845170940950307,1.4188016330736508,2.573548168863341
rei-INT,M,17,free swimming,11-2018,1.811655467039311,1.8327160033094854,3.0710875303638563
rei-INT,M,90,free swimming,11-2018,1.4896810486775296,1.6167573975080685,2.678903456860744
rei-INT,M,10,free swimming,11-2018,1.1759205872910925,1.2427012863666156,2.2639860472944298
rei-INT,M,26,free swimming,11-2018,1.4762901337532448,1.480278268205366,2.8240789281966325
rei-INT,M,1,free swimming,11-2018,1.4901134000735543,1.6876405792072096,3.8549017103862857
rei-INT,M,22,free swimming,11-2018,1.5878009244550049,1.6577664731994404,3.633872762534725
rei-INT,M,31,free swimming,11-2018,1.8795972607141382,2.0839687142901684,5.01003941057103
rei-INT,M,14,free swimming,11-2018,1.6643661396124725,1.7142723136313582,3.4598817161591144
rei-INT,M,50,free swimming,11-2018,1.1587490197662231,1.3523210437977868,3.6801204259764555
rei-INT,M,7,free swimming,11-2018,1.5367627223910785,1.563755750510561,2.5332760142565007
rei-INT,M,5,free swimming,11-2018,1.6587043841151567,1.6786275157751769,2.9311259508679925
rei-INT,M,11,free swimming,11-2018,1.7313014938781115,1.826302052860973,3.031847875925044
rei-INT,M,18,free swimming,11-2018,1.194401365621827,1.2730128376166598,2.3492146873313398
rei-INT,M,15,free swimming,11-2018,1.2439133296209333,1.3085952452356635,2.649965696008976
rei-INT,M,23,free swimming,11-2018,1.3643552242887222,1.4311200488071913,2.7276229562019627
rei-INT,M,30,free swimming,11-2018,1.7333278306733915,1.8086399809840248,4.113692689502544
rei-INT,M,27,free swimming,11-2018,1.152285089869901,1.4011830078294016,4.039719024387111
rei-INT,M,34,free swimming,11-2018,1.7337394966945887,1.7330978031687636,2.4870849665274353
rei-INT,M,80,free swimming,11-2018,1.616257619291237,1.793604921767747,4.023137970721109
rei-INT,M,19,free swimming,11-2018,1.7034358661821463,1.8043878302628775,2.9817032753584396
rei-INT,M,4,free swimming,11-2018,1.6978197925854097,1.6514128997285271,2.2656963441401587
rei-INT,M,6,free swimming,11-2018,1.6491283926346059,1.6860950400991839,3.195447958208587
rei-INT,M,40,free swimming,11-2018,1.6959687439728588,1.7280310289581506,3.0756746992293404
rei-INT,M,9,free swimming,11-2018,1.559562749462352,1.6260608146316038,2.747865795590085
rei-INT,M,28,free swimming,11-2018,1.6744539131264238,1.8243069158771776,4.900221778311746
rei-INT,M,70,free swimming,11-2018,1.509804606075529,1.6354168183989948,3.1659172089684047
rei-INT,M,16,free swimming,11-2018,1.8752643531412883,2.073877143766634,5.456089415954283
rei-INT,M,33,free swimming,11-2018,1.6017259884013562,1.7705542223898103,4.785829735633397
rei-INT,M,24,free swimming,11-2018,1.4985154828196048,1.6215185271122696,2.966368858084916
rei-INT,M,3,free swimming,11-2018,1.3266418366760058,1.3665916590896556,2.9185548236238175
rei-HT,F,55,free swimming,11-2018,1.1822943744308212,1.1940965960468304,2.241391027252362
rei-HT,F,44,free swimming,11-2018,1.6729322354005558,1.702853278570777,2.8729729605066803
rei-HT,F,8,free swimming,11-2018,1.3038234405673599,1.4114272538881267,2.4440430427211357
rei-HT,F,61,free swimming,11-2018,1.5498887283116196,1.5750166999282296,2.796006976548978
rei-HT,F,42,free swimming,11-2018,1.3556353296701076,1.4689399887766685,2.647167083059513
rei-HT,F,49,free swimming,11-2018,1.2424720208220896,1.3212752582296188,2.2294850911844364
rei-HT,F,56,free swimming,11-2018,1.235431729507993,1.3859186468726725,3.0318396917941213
rei-HT,F,65,free swimming,11-2018,1.591314646529177,1.5377313530551828,2.204045938184693
rei-HT,F,40,free swimming,11-2018,1.8425972584683437,1.8601929389331955,3.4960866315893666
rei-HT,F,26,free swimming,11-2018,1.2027586744610603,1.2039133555837556,2.1951073343348644
rei-HT,F,17,free swimming,11-2018,1.09716815430841,1.2363478236407848,3.1663230351361937
rei-HT,F,23,free swimming,11-2018,1.8555392460628863,1.883457185400861,3.625346865321855
