Timestamp,sex,age,factorial framing,letter_i,tumor,k_position,framing,Steve,letter_ing,Linda,letter_ly,letter_l,Group,microframingID,framingID
29/06/2020 08:27:06,female,24.0,5000.0,13,10,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
29/06/2020 08:27:28,female,24.0,362.0,21,100,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
29/06/2020 08:27:31,male,22.0,350000.0,13,100,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
29/06/2020 08:28:09,female,26.0,405890.0,21,100,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
29/06/2020 08:28:22,male,24.0,1024.0,3.5,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
29/06/2020 08:28:39,female,24.0,10.0,1.5,90,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
29/06/2020 08:28:39,female,24.0,6554880.0,3.5,90,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,13,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
29/06/2020 09:47:27,female,24.0,362.0,21,100,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
17/12/2020 08:26:26,female,22.0,100.0,13,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,3.5,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
17/12/2020 08:26:31,female,23.0,10.0,6,80,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
17/12/2020 08:26:31,female,23.0,1253.0,21,90,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
17/12/2020 08:26:32,female,24.0,1000.0,21,90,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,6,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
17/12/2020 08:26:57,female,23.0,640.0,9,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
17/12/2020 08:27:05,male,24.0,1000.0,21,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
17/12/2020 08:27:06,female,26.0,100.0,9,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
17/12/2020 08:27:13,female,23.0,50000.0,6,90,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
17/12/2020 08:27:48,male,26.0,9876.0,9,10,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,9,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
17/12/2020 08:27:51,female,23.0,180000.0,21,90,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
17/12/2020 08:27:52,female,22.0,1500.0,9,10,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
17/12/2020 08:28:51,female,24.0,4000.0,9,50,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
