genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HT,F,57,c-start,08-2019,1.3723127951368719,1.526772920064878,2.8689874277543046
rei-HT,F,29,c-start,08-2019,1.8440975013239174,1.8075571365590015,3.4353901835222014
rei-HT,F,21,c-start,08-2019,1.5282253257976042,1.63241440462766,2.5693790093591686
rei-HT,F,25,c-start,08-2019,1.6803145451968282,1.8267643503638855,4.026432200032618
rei-HT,F,6,c-start,08-2019,1.4015334479536707,1.5821872863418853,2.762239574189061
rei-HT,F,13,c-start,08-2019,1.7227686462100744,1.8669052030338489,4.28899779467189
rei-HT,F,90,c-start,08-2019,1.6185229086713078,1.8833221248301606,3.781852964501273
rei-HT,F,17,c-start,08-2019,1.9104400040843672,1.9520158523457203,4.905665984124882
rei-HT,F,28,c-start,08-2019,1.4884780949583944,1.531314737676414,2.6631924335418526
rei-HT,F,35,c-start,08-2019,1.4403259364453616,1.557322117020608,2.7986920183632638
rei-HT,F,48,c-start,08-2019,1.6918242304567075,1.7957037338875586,3.6373724536191863
rei-HT,F,11,c-start,08-2019,1.43526680280779,1.4282528572056055,2.403713793151444
rei-HT,F,10,c-start,08-2019,1.4958256982189444,1.77580881920117,3.407176616277197
rei-HT,F,40,c-start,08-2019,1.5342111716577667,1.565619634630561,3.0319863946352763
rei-HT,F,18,c-start,08-2019,1.5286888918980193,1.674443203890862,2.944991237307338
rei-HT,F,24,c-start,08-2019,2.1405467829547336,2.212221591487765,4.595208950138526
rei-HT,F,39,c-start,08-2019,1.6484299978418173,1.6575398122769676,3.196939891248722
rei-HT,F,19,c-start,08-2019,1.3228700306352996,1.4835292423490476,3.1715883488135113
rei-HT,F,55,c-start,08-2019,1.758842271901984,1.898280970262533,3.8993662780670695
rei-HT,F,31,c-start,08-2019,1.4213772368123472,1.83087102855488,5.0294351992811315
rei-HT,F,27,c-start,08-2019,1.8683822049287846,1.9862919248041166,3.926589319946297
rei-HT,F,26,c-start,08-2019,2.3382871399788665,2.3167897360684515,4.380770124469061
rei-HT,F,42,c-start,08-2019,1.9046495919493658,1.9854197728065588,3.370325530660108
rei-HT,F,38,c-start,08-2019,2.384137433549824,2.371902188270331,5.1560831349791005
rei-HT,F,46,c-start,08-2019,1.8043334997530742,1.8483647363286089,4.077651478360521
rei-HT,F,16,c-start,08-2019,1.9254876011803872,2.023545700637209,4.276316552066261
rei-HT,F,20,c-start,08-2019,1.3303323900296844,1.524886226508724,2.5729726244515563
rei-HT,F,91,c-start,08-2019,1.3976211834035306,1.5909810609835129,3.8166630392981116
rei-HT,F,15,c-start,08-2019,1.7808140363889926,1.9465430360697862,4.530823181950189
rei-HT,F,54,c-start,08-2019,0.9315629054125796,1.1027014620352014,2.6348326395355715
rei-HT,F,3,c-start,08-2019,1.305569169845123,1.4248402487799885,2.6201326393682707
rei-HT,F,61,c-start,08-2019,1.3590035800356022,1.602188941821029,4.826627297082147
rei-HT,F,5,c-start,08-2019,1.5749201848214085,1.7278126370850102,3.4942274388090033
rei-HT,F,9,c-start,08-2019,1.4964502574375282,1.5877991017909536,3.6142709185768287
rei-HT,F,45,c-start,08-2019,1.9650092851102143,2.028457409952721,4.538228214913373
rei-HT,F,71,c-start,08-2019,1.6912192136403021,1.7038883990379028,3.3041967073115583
rei-HT,F,36,c-start,08-2019,1.44886228216132,1.5539757695101062,2.9312527385034275
rei-HT,F,33,c-start,08-2019,1.768255687340911,1.7626092852474997,3.195080467648579
rei-HT,F,52,c-start,08-2019,1.839328714823501,1.894617178335292,3.628278734961124
rei-HT,F,22,c-start,08-2019,1.4739975012671303,1.7308220993584358,3.3174539963660115
rei-HT,F,60,c-start,08-2019,1.2693195403443212,1.365343412088231,2.4126195186730763
rei-HT,F,30,c-start,08-2019,1.9592409427730715,1.8381577757818708,3.117775529873529
rei-HT,F,14,c-start,08-2019,1.5878865206640183,1.8540516746417117,3.6727921176182945
rei-HT,F,70,c-start,08-2019,1.5437319958722637,1.6568462725995505,3.2695653908444506
rei-HT,F,7,c-start,08-2019,1.8004689448699638,1.868755990627655,3.8880502088350832
rei-HT,F,32,c-start,08-2019,1.4569414326829888,1.7982266127140258,4.059698872599679
rei-HT,F,34,c-start,08-2019,1.684726037488655,1.8221343502039082,4.017468282354986
