genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HM,F,17,counter current,11-2019,0.8436425406413215,1.0242898086244328,2.7368980163750027
rei-HM,M,29,counter current,11-2019,1.288645932618794,1.456845103796692,3.892359406245538
rei-HM,F,29,counter current,11-2019,0.9545861060015968,1.1106768097090778,2.417924322846586
rei-HM,F,11,counter current,11-2019,0.863706199516083,0.9840986982254406,1.8679849947456413
rei-HM,M,18,counter current,11-2019,0.9685881588440035,1.052378029663346,2.104624320561547
rei-HM,F,14,counter current,11-2019,1.5064547779701765,1.7123454359390635,4.323551507406936
rei-HM,M,32,counter current,11-2019,1.0894717885802165,1.285979142398649,3.305581139119826
rei-HM,F,18,counter current,11-2019,0.9241905472241989,1.0320649185510788,1.86208552857203
rei-HM,F,8,counter current,11-2019,1.369007385280824,1.5102202613352214,3.527183599401
rei-HM,M,28,counter current,11-2019,1.1128387851905197,1.2184260480682085,2.688028363543079
rei-HM,F,27,counter current,11-2019,0.9526625759561729,1.0476359979443262,1.8616501816217603
rei-HM,F,13,counter current,11-2019,1.201643527879957,1.3971967943125052,4.09559360917131
rei-HM,F,16,counter current,11-2019,1.0030059281338892,1.1611600079321096,2.8014658308073304
rei-HM,F,28,counter current,11-2019,0.6610318339630363,0.8235746110091718,1.8770837942842633
rei-HM,F,4,counter current,11-2019,0.7482894899550764,1.07276524284509,2.886319246895404
rei-HM,F,6,counter current,11-2019,0.8855440907220864,1.002593689349192,1.8907822863460886
rei-HM,M,13,counter current,11-2019,0.937982689035104,1.111835486511051,2.715836530962237
rei-HM,M,25,counter current,11-2019,0.995537990991244,1.132293210376108,2.598145243404344
rei-HM,M,43,counter current,11-2019,0.7117675016452508,0.8499418450427914,2.4542462365326494
rei-HM,M,5,counter current,11-2019,1.153831187689729,1.3389657730725077,3.520889958176028
rei-HM,M,38,counter current,11-2019,1.0611710611752418,1.1040653369176694,2.7035311794005863
rei-HM,M,12,counter current,11-2019,1.577698108908848,1.7154333246836757,3.3655070162617013
rei-HM,F,23,counter current,11-2019,1.038791435336759,1.2641922506583567,3.319775825171759
rei-HM,M,39,counter current,11-2019,0.8511853375700289,0.9354079845414565,1.9702823137892322
rei-HM,M,20,counter current,11-2019,0.7973037976390038,0.8647162584364535,2.2128216578049407
rei-HM,M,16,counter current,11-2019,1.385722459483623,1.5584658892322047,3.81564976485993
rei-HT,M,35,counter current,11-2019,0.9930944473264638,1.0986254020198316,2.2407988043955855
rei-HT,F,21,counter current,11-2019,0.9941236876820074,1.0709924244522664,2.0065562617896155
