,Area ,Mean,IntDen,Median,RawIntDen,Maxintensity_perpicture,RawIntden_normatoMaxintensity,genotype,Injection type,Fishnumber
14,892.1656,496.8138,443240.2114,423,4261669,34414430,0.123833781352764,mut,MOCK,T
15,892.1656,501.8269,447712.6882,406,4304671,34414430,0.125083315341849,mut,MOCK,T
16,892.1656,569.1941,507815.4039,479,4882547,34414430,0.141874992553996,mut,MOCK,T
17,892.1656,453.7383,404809.694,359,3892167,34414430,0.113096947995361,mut,MOCK,T
18,892.1656,395.3007,352673.6491,335,3390889,34414430,0.0985310231783586,mut,MOCK,T
19,892.1656,611.2255,545314.3373,492,5243092,34414430,0.152351557181101,mut,MOCK,T
20,892.1656,487.8971,435284.9814,407,4185181,34414430,0.121611225291251,mut,MOCK,T
21,892.1656,691.6963,617107.6676,611,5933371,34414430,0.172409393385275,mut,MOCK,T
22,892.1656,513.2231,457880.0272,460,4402428,34414430,0.127923897039701,mut,MOCK,T
23,892.1656,493.8662,440610.4134,410,4236384,34414430,0.123099060481316,mut,MOCK,T
24,892.1656,584.5006,521471.3205,481,5013846,34414430,0.145690223548668,mut,MOCK,T
25,892.1656,386.9993,345267.468,342,3319680,34414430,0.0964618620735546,mut,MOCK,T
1,892.1656,382.9922,341692.4612,317,3285307,36210247,0.090728654792109,mut,MOCK,U
2,892.1656,527.9288,470999.8956,507,4528573,36210247,0.125063300451941,mut,MOCK,U
3,892.1656,425.1723,379324.1066,377,3647128,36210247,0.100720881578079,mut,MOCK,U
4,892.1656,422.3219,376781.0497,373,3622677,36210247,0.100045630729887,mut,MOCK,U
5,892.1656,544.5715,485847.9318,444,4671334,36210247,0.129005858479783,mut,MOCK,U
6,892.1656,479.785,428047.7065,434,4115596,36210247,0.113658324396406,mut,MOCK,U
7,892.1656,513.069,457742.5309,395,4401106,36210247,0.121543109054186,mut,MOCK,U
8,892.1656,541.9921,483546.6896,442,4649208,36210247,0.12839481597571,mut,MOCK,U
9,892.1656,469.1317,418543.1993,445,4024212,36210247,0.111134618882881,mut,MOCK,U
10,892.1656,560.0079,499619.8154,479,4803748,36210247,0.132662668663928,mut,MOCK,U
11,892.1656,436.6176,389535.2322,365,3745306,36210247,0.103432213538891,mut,MOCK,U
12,892.1656,495.8306,442363.0227,434,4253235,36210247,0.117459430751743,mut,MOCK,U
13,892.1656,598.0232,533535.7335,504,5129843,36210247,0.141668268653346,mut,MOCK,U
14,892.1656,470.9977,420207.9234,435,4040218,36210247,0.111576648455339,mut,MOCK,U
15,892.1656,486.3493,433904.0904,418,4171904,36210247,0.11521335383324,mut,MOCK,U
16,892.1656,466.2889,416006.9029,390,3999826,36210247,0.110461163106675,mut,MOCK,U
17,892.1656,778.2171,694298.5062,730,6675546,36210247,0.184355163332633,mut,MOCK,U
18,892.1656,517.6956,461870.227,419,4440793,36210247,0.122639124775923,mut,MOCK,U
19,892.1656,486.1166,433696.4939,439,4169908,36210247,0.11515823131502,mut,MOCK,U
20,892.1656,417.6413,372605.1988,307,3582527,36210247,0.0989368285723099,mut,MOCK,U
21,892.1656,383.2719,341941.9722,318,3287706,36210247,0.0907949067566427,mut,MOCK,U
22,892.1656,551.0326,491612.3742,471,4726758,36210247,0.130536474937605,mut,MOCK,U
23,892.1656,588.7344,525248.6195,470,5050164,36210247,0.139467814179782,mut,MOCK,U
24,892.1656,512.2533,457014.7992,466,4394109,36210247,0.121349876459003,mut,MOCK,U
25,892.1656,522.6777,466315.0381,419,4483529,36210247,0.123819343182056,mut,MOCK,U
26,892.1656,571.7839,510125.9028,490,4904762,36210247,0.135452320996319,mut,MOCK,U
27,892.1656,624.5386,557191.8511,507,5357292,36210247,0.147949612163651,mut,MOCK,U
28,892.1656,586.8273,523547.1813,484,5033805,36210247,0.139016035985615,mut,MOCK,U
29,892.1656,683.6288,609910.1231,633,5864168,36210247,0.161947749210327,mut,MOCK,U
30,892.1656,524.3308,467789.9507,400,4497710,36210247,0.124210972656442,mut,MOCK,U
31,892.1656,515.0815,459537.9908,424,4418369,36210247,0.122019852557206,mut,MOCK,U
32,892.1656,501.6265,447533.9015,411,4302952,36210247,0.118832439889184,mut,MOCK,U
33,892.1656,475.5104,424234.0053,390,4078928,36210247,0.112645682864301,mut,MOCK,U
34,892.1656,539.5886,481402.3927,456,4628591,36210247,0.127825446758206,mut,MOCK,U
1,892.1656,394.3627,351836.8148,323,3382843,36149659,0.0935788356952413,mut,MOCK,U
2,892.1656,457.3819,408060.4094,421,3923422,36149659,0.10853275268793,mut,MOCK,U
3,892.1656,499.3236,445479.362,437,4283198,36149659,0.118485156388336,mut,MOCK,U
4,892.1656,560.8069,500332.6743,460,4810602,36149659,0.133074616277847,mut,MOCK,U
5,892.1656,479.5653,427851.6547,381,4113711,36149659,0.113796675094501,mut,MOCK,U
6,892.1656,507.3369,452628.5436,408,4351936,36149659,0.120386640438296,mut,MOCK,U
7,892.1656,494.222,440927.8405,426,4239436,36149659,0.117274577887443,mut,MOCK,U
8,892.1656,412.8934,368369.3362,341,3541800,36149659,0.0979760279343161,mut,MOCK,U
9,892.1656,444.5508,396612.9615,399,3813357,36149659,0.105488049002067,mut,MOCK,U
10,892.1656,630.8172,562793.4197,587,5411150,36149659,0.149687442418198,mut,MOCK,U
11,892.1656,446.7717,398594.3846,357,3832408,36149659,0.106015052590123,mut,MOCK,U
12,892.1656,455.0422,405973.004,423,3903352,36149659,0.107977560728858,mut,MOCK,U
13,892.1656,502.132,447984.8726,429,4307288,36149659,0.119151552715891,mut,MOCK,U
14,892.1656,501.0799,447046.2161,414,4298263,36149659,0.118901896142367,mut,MOCK,U
15,892.1656,487.7982,435196.7841,403,4184333,36149659,0.115750275818646,mut,MOCK,U
16,892.1656,603.4978,538419.971,485,5176804,36149659,0.143204780991157,mut,MOCK,U
17,892.1656,760.4781,678472.3951,757,6523381,36149659,0.18045484191151,mut,MOCK,U
18,892.1656,534.9988,477307.5626,479,4589220,36149659,0.126950575107776,mut,MOCK,U
19,892.1656,520.2636,464161.2766,441,4462821,36149659,0.123454027602307,mut,MOCK,U
20,892.1656,550.654,491274.5619,429,4723510,36149659,0.130665409596257,mut,MOCK,U
21,892.1656,441.9915,394329.6083,403,3791403,36149659,0.10488074036881,mut,MOCK,U
22,892.1656,593.8876,529846.1118,465,5094368,36149659,0.140924372205005,mut,MOCK,U
23,892.1656,413.9108,369276.9988,385,3550527,36149659,0.0982174409999275,mut,MOCK,U
24,892.1656,533.5885,476049.295,459,4577122,36149659,0.126615910816752,mut,MOCK,U
25,892.1656,467.1411,416767.1886,415,4007136,36149659,0.11084851450466,mut,MOCK,U
26,892.1656,555.4007,495509.3844,475,4764227,36149659,0.131791754937439,mut,MOCK,U
1,892.1656,420.3397,375012.6315,397,3605674,35543262,0.10144465637397,mut,MOCK,U
2,892.1656,477.2814,425814.0683,418,4094120,35543262,0.115186951608437,mut,MOCK,U
3,892.1656,510.3578,455323.6576,458,4377849,35543262,0.123169589780477,mut,MOCK,U
