,genotype,activity_ratio,speed_ratio
63,15V,20.103448275862068,7.305160229143875
64,15V,,237.60601431422205
65,15V,,29.70489926192041
66,15V,,6.977577316542623
67,15V,,65.76992181517961
68,15V,,65.31108948632165
69,15V,,110.60060001560574
70,15V,,36.287701054034066
71,15V,,21.870986486175862
72,15V,,9.859890236372951
73,15V,,30.443796839927778
74,15V,,1.9933673127934908
75,15V,,148.91509528279087
76,15V,,29.185686396412592
77,15V,,1.1947652326833142
78,15V,,49.64104850849403
79,15V,,4.406646493163484
80,15V,,101.1732509122781
81,15V,,22.90932640281037
82,15V,13.358024691358025,1.9280827417125015
83,15V,,2.5181750901577558
84,15V,,1.5774654390151084
85,15V,,0.6378398744206196
86,15V,,122.83639579256754
87,15V,,6.253575746301848
88,15V,7.465116279069767,0.707302322142835
89,15V,,48.35006811218893
90,15V,,33.82035803570631
91,15V,,4.319425584566907
92,15V,,21.675620754337622
93,15V,,38.579575452233584
94,15V,,43.90631315909495
95,15V,,3.355656052533869
96,15V,4.142361111111111,0.26246315892810845
97,15V,8.452830188679245,1.5259708179757436
98,3V,,0.8092207850692736
99,3V,,1.2571818395221908
100,3V,,28.554572954374954
101,3V,,17.318016972926063
102,3V,,9.638267810240606
103,3V,,12.10746828573762
104,3V,,12.231901883154931
105,3V,,2.099069142343978
106,3V,,1.5532298166267133
107,3V,,36.7814435134858
108,3V,,0.6183679698616441
109,3V,,0.9971455632863012
110,3V,,1.4037945533555947
111,3V,,3.2662267679350734
112,3V,,0.34744356303345597
113,3V,,9.28337632188826
114,3V,,1.2808821708872988
115,3V,,1.4955509959713642
116,3V,,32.80115853610707
117,3V,,134.5680175521599
118,3V,5.791666666666667,0.3426272984400829
119,3V,,5.023471687805482
120,3V,,0.7587457788226034
121,3V,7.421926910299003,0.6191228638371553
122,3V,,0.7437857690625584
123,3V,,0.7427268098081958
124,3V,,2.466191394597176
125,3V,10.5,2.6580162657127095
126,3V,,14.190782554111678
127,3V,3.3838383838383836,0.23267471688427294
128,3V,7.435087719298245,0.4898658426473876
129,3V,0.5254901960784314,0.017404999746919798
130,3V,,1.6938592719167767
131,3V,,5.352317853863217
132,3V,,1.5401939235880842
