genotype,sex,animalNo,expType,birthDate,thrust_mean_m/s,slip_mean_m/s,yaw_mean_m/s,thrust_median_m/s,slip_median_m/s,yaw_median_m/s,cruising_thrust_mean_m/s,cruising_slip_mean_m/s,cruising_yaw_mean_m/s,cruising_thrust_median_m/s,cruising_slip_median_m/s,cruising_yaw_median_m/s,activity_duration_s,activity_fraction,sec_to_first_stop,torque
rei-INT,M,90,motivated swimming,11-2018,0.04602653789309422,0.014873640620867278,89.27546059311288,0.0438383939060341,0.00359655673454895,21.511726688112276,0.05112888080309782,0.016555430627957293,100.90922927871434,0.0485573129291027,0.0038555688367552,25.79076047414901,25.59936690000001,0.8533577737043826,29.98340220000001,0.002239213121797024
rei-INT,M,10,motivated swimming,11-2018,0.07295192855249885,0.019113778700232047,148.49723156054714,0.0433412989640612,0.0036912197873793,20.335266210267378,0.10775822941580075,0.028214496647614225,223.08768841348552,0.0890896429422673,0.0071995150847673,66.58846111706396,20.03998080000003,0.6483829236739974,30.891638400000048,0.0018501330441964255
rei-INT,M,26,motivated swimming,11-2018,0.04212604218248965,0.010161901520488523,58.274201240462176,0.0359297426630159,0.0019710420710996497,10.965410794165109,0.051569232808347076,0.012814176372075535,74.89805609879105,0.04523130427890345,0.0022736795670495,13.273589512243689,22.227332399999963,0.7408765205799034,29.986401199999946,0.0032412526546952243
rei-INT,M,1,motivated swimming,11-2018,0.060472730536544915,0.027694945378652705,253.96394198573046,0.0543588233328274,0.008538361822933199,56.0261921439249,0.07074153240999644,0.03231142522489624,303.18498183060404,0.0646256993274902,0.0120549917510528,91.49379479538312,25.819216399999988,0.8258419772057882,31.256105199999986,0.0009897165333884
rei-INT,M,22,motivated swimming,11-2018,0.15557811318722756,0.03275871127618621,268.41839614484803,0.0379497978165061,0.0026742230543046,11.442169697875215,0.2912402178255673,0.06138631255097218,507.45985236421154,0.2602299543051575,0.0395814505011904,287.6067489795787,15.77036009999999,0.5254124312614564,15.81037369999999,0.0013828695634315984
rei-INT,M,31,motivated swimming,11-2018,0.03700657232283194,0.013728524925729294,130.79543675615724,0.0042510642945054,0.0011364837420522,4.043006595316001,0.13051133746921295,0.049112772224422375,479.6775331505486,0.1084973875677377,0.0251034419358573,197.13676540582128,7.872952500000005,0.2624562572904516,13.651449700000008,0.0005640255653903263
rei-INT,M,14,motivated swimming,11-2018,0.0729575991719644,0.023802063059727593,166.07156588045075,0.06848612428298514,0.01260333666177315,64.71278982969011,0.07532495630100125,0.024384041238928122,172.05917372112864,0.070616109641712,0.0128035597745713,69.94551470222063,28.76809400000007,0.9590068321946342,29.98780120000007,0.0012976998720606056
rei-INT,M,50,motivated swimming,11-2018,0.02728816077382634,0.007396086006002249,36.51688466412019,0.0239777271706137,0.00399209961155295,17.07045690338873,0.040223825780840015,0.009861215579718502,53.3851519471651,0.0349109010130146,0.0045180882996365,25.30564478929591,15.463144199999974,0.5154140976503916,29.956404799999948,0.0017482569046183634
rei-INT,M,7,motivated swimming,11-2018,0.10576567378737144,0.03243594642093585,292.78384587875803,0.0799677130636449,0.0122107614294522,96.06343221975068,0.14201929192064125,0.04318973744271136,394.36028183132464,0.1260155125438823,0.023678901304957,210.56222235849376,22.799963700000017,0.7373802743981361,23.352253500000018,0.0008040332323648835
rei-INT,M,5,motivated swimming,11-2018,0.054010330524937734,0.015736928563444795,106.9527724709358,0.020239155192278,0.00248373471538545,10.070249219893412,0.10160044331629435,0.03005318620605529,211.1826782559468,0.0729212769653609,0.00751432072955305,54.45599718250804,15.141993399999974,0.4907227196055534,30.848508499999948,0.0017029308328286527
rei-INT,M,11,motivated swimming,11-2018,0.06934099909683747,0.0232049809800146,174.7386745960335,0.0561625865458423,0.0054706879113818,37.57990344577955,0.0758800133980499,0.025024272870485097,191.12450211204114,0.0617381611930858,0.0052336851162594,41.69088155441791,27.686675900000015,0.8951727708036754,30.880830500000016,0.0019098838002144043
rei-INT,M,18,motivated swimming,11-2018,0.05127622940654203,0.011974495546779483,169.8853415511773,0.02650782477614265,0.00191037789586235,10.934248167342275,0.08238536524879558,0.019453397567342563,287.4114630408361,0.0617038430316328,0.0049534247891896,39.28498836817198,17.304653899999966,0.5767372104649225,29.46441069999994,0.002413714443157014
rei-INT,M,15,motivated swimming,11-2018,0.08334658588923913,0.018788194712328062,101.7793563832374,0.06548536730549939,0.0027874498400641996,14.700235761168301,0.09600197986128493,0.02171707253658918,118.39526400674825,0.0741170317391971,0.0035591620945864,20.789499680495283,25.506020200000027,0.8500249958340277,29.53118120000003,0.004031493677903259
rei-INT,M,23,motivated swimming,11-2018,0.09081040675768416,0.030723619114479288,258.58559406083526,0.011048449770471699,0.0018861886791907,8.696557784901415,0.19122442093634381,0.06512334533612898,553.5506014461126,0.1451743772318452,0.04172391806472415,248.08833783072973,13.846366399999983,0.46125645725712383,16.12741519999998,0.0008760615886856198
rei-INT,M,30,motivated swimming,11-2018,0.042164578065863934,0.021138088110193857,378.720901115216,0.0052753700776899,0.0017864682432209501,7.763960519810098,0.1328473353887347,0.06775967583059501,1266.9369046779832,0.0964597348417178,0.0502551754802149,722.860814242199,8.847299699999988,0.2947842026328945,27.832234499999963,0.00019420087937001965
rei-INT,M,27,motivated swimming,11-2018,0.08128471861615534,0.024885987591520737,208.27855153987437,0.0264220737452961,0.0031581329133971003,24.889919493944035,0.14644416761307114,0.04473378540589557,374.1278482871922,0.1216492496005565,0.0183658411772974,170.29358463757944,16.286526600000016,0.5430761539743376,29.979402600000032,0.0010102488757982684
rei-INT,M,34,motivated swimming,11-2018,0.0792319346667228,0.01870484968984971,151.30189875274942,0.008116068315433149,0.00279599385777945,11.562235515208386,0.16989567417942847,0.039021377139673026,324.57620050310464,0.1632387572703711,0.018267678191063348,143.87351378714524,13.639727199999973,0.4545909015164139,13.694726099999974,0.0013567920933621762
rei-INT,M,80,motivated swimming,11-2018,0.04543082402009506,0.018644240053217406,101.55653335273388,0.04436922347640985,0.0074146759737916,37.102284632700844,0.04889695650759467,0.019912151797155584,110.56829335448336,0.04704751126054035,0.0079117206563082,44.55993816140591,26.83214639999995,0.8941843026162306,29.97739799999994,0.001364863523000151
