,genotype,activity_ratio,speed_ratio
142,13V,1.0,0.46749898937122436
143,13V,1.0,0.9103676991007392
144,13V,0.9351851851851851,0.593200653766348
145,13V,0.5902497472274635,0.40333941931800854
146,13V,1.0,0.8871950567938351
147,13V,1.0,0.9389970313813519
148,13V,0.8348688873139617,0.4441435712238593
149,13V,1.0,0.499530995833432
150,13V,1.0,0.6979048157168548
151,13V,1.0,0.4600585360316729
152,13V,1.0,0.459955885311644
153,13V,0.9201467934834886,0.5955372223495914
154,13V,1.0,0.7239850316873472
155,13V,0.874860956618465,0.611673149224064
156,13V,0.9023972602739726,0.49932315604014865
157,13V,1.0,0.5564538409258657
158,13V,,0.3957823326387513
159,13V,,0.4948021661044216
160,13V,0.8795270440251572,0.5541977742873753
161,13V,1.0,0.9704083227185114
162,13V,1.0,0.9015045012039489
163,13V,1.0,0.8638601991981476
164,13V,1.0,0.4297644915828738
165,13V,1.0,0.5112125963113723
166,13V,1.0,0.5204546730004977
167,13V,1.0,0.9150563391473513
168,13V,0.8859159326012449,0.467726220241028
169,13V,0.8937875389525533,0.5208511157555843
170,13V,0.9942827442827442,0.9326727837674594
171,13V,1.0,0.9470735501011933
172,13V,1.0,0.760433585900012
173,13V,1.0,0.8357333447706277
174,13V,0.8542795232936078,0.20598932539091533
175,13V,1.0,0.6969924891415151
176,13V,0.8851528384279476,0.7012214196086044
177,13V,1.0,0.9269383801618538
178,13V,1.0,0.863130195335509
179,13V,1.0,0.7638166688784844
180,13V,0.9106614230718173,0.5442624865249951
181,13V,0.8669907202828104,0.442140197486345
182,13V,0.9470538001707942,0.5323876032866839
183,13V,1.0,0.8032592048562845
184,13V,1.0,0.8046727747810063
185,13V,0.9203539823008849,0.630979636665689
186,13V,0.8753404745379452,0.4423811516971252
187,13V,0.9613841524573721,0.5789609383379528
188,13V,1.0,0.9025229130752117
189,13V,1.0,0.8700320670499562
190,13V,0.9134457771114443,0.6827402877888398
191,13V,1.0,0.8641602467902859
192,13V,0.8991883810337462,0.46755838561703367
193,13V,1.0,0.6511374046522577
194,13V,1.0,0.7238765852895166
195,13V,0.9006303102715825,0.5681540758683286
196,13V,0.8915336664522833,0.5451368041493467
197,13V,0.9510204081632654,0.7634245649813935
198,13V,1.0,0.6814491049793142
199,13V,0.9249001996007984,0.4529250744682839
200,13V,1.0,0.8885019690037625
201,13V,0.9748177601060305,0.8961067426420254
202,13V,0.9382402707275803,0.6654652804870638
203,13V,1.0,0.9472389316531118
204,13V,0.9060237346367203,0.5892792806991966
205,13V,0.8579632866061419,0.3802767322941786
206,13V,0.9656593406593407,0.509233363515477
207,13V,0.8762045982081355,0.4828799414000472
208,13V,1.0,0.835769577903454
209,13V,0.9215452011150936,0.6109759593078861
210,13V,0.8810810810810811,0.568642347136592
211,13V,0.9823415578132559,0.8933388000520862
212,13V,,0.5016118541312853
213,13V,,0.5301152129754314
214,13V,1.0,0.9789459805013949
215,13V,1.0,0.9561980256076323
216,15V,0.8607851159466958,0.515385473951599
217,15V,0.9391670566214319,0.594211069519962
218,15V,,0.41786922632309187
219,15V,1.0,0.40299289455749765
220,15V,0.9545256744995648,0.7887102360376101
221,15V,1.0,0.9685091163568527
222,15V,0.8926535036325287,0.5151234339064246
223,15V,1.0,0.7169495899988496
224,15V,,0.48438052123994774
225,15V,,0.5540542052365492
226,15V,1.0,0.6962572089780856
227,15V,1.0,0.9002327087747652
228,15V,0.9391086001255493,0.5754626968723856
229,15V,1.0,0.5982508987653705
230,15V,,0.4925118059623749
231,15V,,0.521027535764178
232,15V,1.0,0.619941137055519
233,15V,0.9988732394366198,0.9569299523396428
234,15V,1.0,0.618469488312295
235,15V,,0.46052136859971604
236,15V,0.9208311415044713,0.4255913081562037
237,15V,,0.45591367299488594
238,15V,,0.5669265965283816
239,15V,0.9205856255545697,0.6034095279926411
240,15V,1.0,0.8810686828457992
241,15V,0.9123142509237911,0.5498901503542181
242,15V,1.0,0.47599183230768427
243,15V,1.0,0.9857930117663113
244,15V,0.9334485738980121,0.6379576447098166
245,15V,1.0,0.8797107454731872
246,15V,0.9260700389105059,0.5707512032066557
247,15V,1.0,0.6332390475493399
248,15V,0.839344071207287,0.5058728399906731
249,15V,1.0,0.9870578433059395
250,15V,1.0,0.9721150539189634
251,15V,1.0,0.9359175265488022
252,15V,1.0,0.6787102065123185
253,15V,,0.48354804370364224
254,15V,,0.4691522260711271
255,15V,0.9044890397018941,0.446082616376989
256,15V,0.868038133467135,0.507626145178528
257,15V,1.0,0.9564634195885839
258,15V,0.9385766092475067,0.5150170611757423
259,15V,1.0,0.5334457269834543
260,15V,,0.5084903129835001
261,15V,1.0,0.5642903550991247
262,15V,0.9027003857693956,0.549810635900274
263,15V,0.9720744680851063,0.6500166515065817
264,15V,,0.5044662772617696
265,15V,0.9322916666666666,0.4821655377693649
266,15V,0.7648809523809523,0.5275577220049654
267,15V,,0.43367227954399656
268,15V,0.9683794466403162,0.8679089358197747
269,15V,0.952576112412178,0.6147899015399094
270,3V,0.9415384615384615,0.5428410196516784
271,3V,1.0,0.9183226179818597
272,3V,0.914503133393017,0.39281487993824504
273,3V,1.0,0.5534651174943575
274,3V,1.0,0.4243367798729032
275,3V,1.0,0.590937775215648
276,3V,1.0,0.47201696741970645
277,3V,1.0,0.7034782165734669
278,3V,1.0,0.6413345809850399
279,3V,,0.4425620562193131
280,3V,1.0,0.41647411046690075
281,3V,0.9355108877721943,0.6833608601566585
282,3V,,0.47556062033213575
283,3V,0.9276228419654715,0.6065706299850994
284,3V,1.0,0.5832757622343256
285,3V,1.0,0.553935049411752
286,3V,,0.43702820067453874
287,3V,1.0,0.5726465468504619
288,3V,,0.5191871083579933
