,genotype,light_condition,activity_norm_sum,activity_freq,activity_bout_dur_sec,distance_walked_mm,max_speed_mmPs,avg_speed_mmPs,sex
60,15V,dark,0.06028490831393569,0.017532402426896385,6.876970633693972,7707.196481761954,1.421775960450469,0.7510934521257738,female
61,15V,dark,0.03842631106871781,0.007655183439873615,10.024113475177305,5896.58659158282,1.495711446742072,0.7811193514985683,female
62,15V,dark,0.018738263181141964,0.00403760117713688,9.281879194630873,2488.3255073490177,1.4987990991483837,0.8470272193435379,female
63,15V,dark,0.032933547588143,0.007533242464725186,8.743525179856114,3076.7886807307887,1.4732928316379568,0.8295569484470078,male
64,15V,dark,0.054595684373399525,0.012952841360210932,8.429916317991632,5906.984727180482,1.5532742674805196,0.8361046385821386,male
65,15V,dark,0.10688532941676987,0.022084865499104413,9.679509202453987,11043.18661625206,1.454724143630296,0.8187773593366188,male
66,15V,dark,0.030784676626082905,0.007560340459202615,8.14372759856631,4341.664441127977,1.4566331723684256,0.7688976754485647,female
67,15V,dark,0.043698225894301564,0.011245667708132921,7.77156626506024,5454.4274053655945,1.4620697753264367,0.7717287480550378,female
68,15V,dark,0.22735894816424637,0.0554695946952966,8.197606253053248,22282.776506101673,1.7398395820189463,0.7943602750202661,female
69,15V,dark,0.07486904894168783,0.019049890117632393,7.860312944523471,7270.484831933088,1.4848978892398317,0.8251956792049948,male
70,15V,dark,0.07736748403250675,0.01831824426674182,8.447041420118342,8278.14050156607,1.574296554178198,0.8164856862626142,male
71,15V,dark,0.14599992954521435,0.029943283897558744,9.751764705882353,14955.941494697612,1.3924152504267095,0.7863869093251603,male
72,15V,dark,0.030292848026317574,0.0072622625199508985,8.342537313432837,4381.151073626527,1.4041465960752495,0.7763258025526053,female
73,15V,dark,0.027085800379913882,0.006015754773989177,9.004954954954954,3333.4643645941405,1.5617345293771998,0.8549719068877583,female
74,15V,dark,0.02293167782652406,0.0065035186745828946,7.052083333333333,3627.65273718069,1.3446426461916086,0.7098950157130999,female
75,15V,dark,0.06209505434502793,0.01468711300676637,8.455719557195572,7034.042880154536,1.5783770217225608,0.7911820529500198,male
76,15V,dark,0.054004948093791576,0.011841823586636354,9.121052631578948,5598.787620567813,1.6995397582503788,0.9161714494061288,male
77,15V,dark,0.027550530985201785,0.008617162243822335,6.394339622641509,2965.856450893001,1.4096998010705375,0.7691294415703156,male
78,15V,dark,0.029959542694245198,0.0068828905972668965,8.705511811023621,3411.4915808461637,1.34012762031334,0.7983845859936538,female
79,15V,dark,0.03393888318325561,0.009917865978738914,6.8439890710382505,3844.659097534931,1.3729467792746985,0.763634262070677,female
80,15V,dark,0.01314930182017229,0.0034414452986334483,7.641732283464566,5166.639809281016,1.3904110658459716,0.6352242218785713,female
81,15V,dark,0.0350539656560018,0.00882039720240305,7.927384615384617,4799.795132413428,1.5379499484673866,0.7625972631172147,male
82,15V,dark,0.05628524432906721,0.012736057404391501,8.838723404255319,5706.337984111146,1.6683806074743885,0.8673811656098248,male
83,15V,dark,0.1581601545669605,0.04152767653665952,7.6165796344647525,13156.177770046146,1.278097527718669,0.7557712681490256,male
84,15V,dark,0.09026883920321058,0.021028043714484693,8.585567010309278,7910.237126074117,1.3815553430318748,0.8403295456786704,female
85,15V,dark,0.07290986394096972,0.016136855711308806,9.035126050420168,7215.511691791202,1.664132305775733,0.8954630674523995,female
86,15V,dark,0.044971831634740715,0.009267514111280625,9.705263157894736,6498.751517960017,1.4196869914567245,0.7605523300858309,female
87,15V,dark,0.06134308499827928,0.014361937073037226,8.54245283018868,6803.314618057528,1.5965193052345128,0.7976510290769129,male
88,15V,dark,0.04221325579693847,0.009728180017396913,8.678551532033426,4308.728485297944,1.7520198655401173,0.8983421721048972,male
89,15V,dark,0.10925233923437326,0.027301229436009444,8.002681231380338,9095.911502342478,1.3193778116985757,0.7811370945817648,male
90,15V,dark,0.04223222439307267,0.01021594391799063,8.26790450928382,5141.22435990407,1.3348266248189369,0.7699681781319567,female
91,15V,dark,0.0508114494446266,0.013345762280133648,7.606910569105691,5219.25722942123,1.561596554054632,0.8195688888946927,female
92,15V,dark,0.05287631662380667,0.013548997238714363,7.805200000000001,5820.541495092749,1.5541978657595283,0.7957795550991071,female
93,15V,dark,0.0380374548479667,0.008996534166506337,8.456024096385542,4900.025406184941,1.562092769467095,0.832392035965762,male
94,15V,dark,0.059096661256100434,0.015066484929450372,7.84478417266187,5790.525208771904,1.6056920462161366,0.8189016748894817,male
95,15V,dark,0.12202226913186155,0.03175884952754647,7.684300341296928,10607.143826153431,1.3140260387385372,0.7681364300467646,male
96,15V,dark,0.04402882142692619,0.009863669989784057,8.927472527472528,5179.501416389468,1.4266404823771597,0.8353221860970772,female
97,15V,dark,0.1490999401134322,0.031636908552398035,9.425107112253642,13959.916440478906,1.59734991817811,0.8657105215199655,female
98,15V,dark,0.061913497782029155,0.01891440014524525,6.5467048710601725,6252.704430912208,1.4933845810832906,0.7421336797266951,female
99,15V,dark,0.1295148646048706,0.0275451113863063,9.402952755905511,13509.823109266332,1.6531581025577506,0.8783664756067576,male
100,15V,dark,0.12228647457801647,0.023954627118046995,10.209841628959277,11749.694741101868,1.7193676717974948,0.8927971023264386,male
101,15V,dark,0.08334394671450365,0.020364142849787686,8.184687083888148,8626.659318374104,1.3983378557366921,0.7680832807730497,male
102,15V,dark,0.02116895328576732,0.005365402906530888,7.8909090909090915,2613.0047964032246,1.2321665226738074,0.7579796944325656,female
103,15V,dark,0.18692332080502722,0.037083605442361216,10.083771929824561,17017.023468558647,1.7262113858300934,0.9933746994696451,female
104,15V,dark,0.0,0.0,,327.7231446610783,,,female
105,15V,dark,0.0,0.0,,6012.91559502988,,,male
106,15V,dark,0.16179264072665983,0.03376410111887619,9.583707865168538,16164.395053615877,1.6959713049363856,0.8250248797850077,male
107,15V,dark,0.07764659337562427,0.018047264321967533,8.604804804804806,7769.413503852436,1.2965987331899387,0.7490719022186494,male
