,genotype,light_condition,activity_norm_sum,activity_freq,activity_bout_dur_sec,distance_walked_mm,max_speed_mmPs,avg_speed_mmPs,sex
172,13V,dark,0.17882293319530018,0.05460800800014093,6.549330024813895,16276.374238040358,1.34823536514339,0.7221603587260547,male
173,13V,dark,0.06015688623241331,0.022114210683928038,5.440563725490196,9431.206950365488,1.1569078084900042,0.6374591065607386,male
174,13V,dark,0.1047525227409155,0.026789089780714294,7.821558704453442,11321.491269431674,1.3853283173617128,0.7595971496660985,female
175,13V,dark,0.07476554465051552,0.0197835463226317,7.558356164383562,8587.476598673054,1.4301612456854347,0.7896797605369604,female
176,13V,dark,0.05688989101434036,0.018076199174240196,6.294452773613193,7469.368036396495,1.2923463304053806,0.6978007995012078,female
177,13V,dark,0.05909318185821701,0.02139604085166812,5.519138149556401,7333.596109820328,1.3613650113687927,0.7101477289645052,male
178,13V,dark,0.08476843088021875,0.026098020696841546,6.4961578400830735,9142.180653018191,1.181816369210412,0.7138439005752658,male
179,13V,dark,0.03474993461944451,0.011639771432288103,5.976923076923077,6832.514014712469,1.1450343063825497,0.6594259561498047,male
180,13V,dark,0.16999350937076127,0.040705324077524405,8.352396804260986,16507.13366905447,1.2661432107852248,0.7476673592325606,female
181,13V,dark,0.19692894319276627,0.05459445762594734,7.21325719960278,17636.570292325127,1.5030653019220217,0.7936319285768499,female
182,13V,dark,0.04767292648786496,0.015989441548428362,5.963050847457627,5996.296864854959,1.4645171344882757,0.7250581965053808,female
183,13V,dark,0.10829459055511818,0.023929960825868207,9.050962627406568,10404.618007820462,1.3555413750183152,0.7780921899157681,male
184,13V,dark,0.08261527642085836,0.022222613677476705,7.435243902439024,7391.972333210762,1.4365040602717176,0.8248548324369044,male
185,13V,dark,0.14821263789199537,0.04382191014204857,6.764316635745207,13742.782518675864,1.117825450369662,0.6856366594651362,male
186,13V,dark,0.22254457056831625,0.05981135169047694,7.441549614861802,19771.357279656062,1.2411279551476904,0.7303623909871106,female
187,13V,dark,0.07798240348407222,0.01780519169036853,8.75951293759513,7826.441995161473,1.4111014115299598,0.8267073907844479,female
188,13V,dark,0.10177279545574651,0.02394351120006179,8.500339750849378,10110.970808538461,1.4797823602525537,0.8418482209980671,female
189,13V,dark,0.08084695258859573,0.0184827104000477,8.748387096774195,7271.402134386679,1.393223045020073,0.8193123999382163,male
190,13V,dark,0.21637508519797774,0.049445315432385666,8.749945175438596,19107.880877563584,1.5120995697170478,0.8487780792959343,male
191,13V,dark,0.09383227617830667,0.02737175587103838,6.856138613861386,9444.245219590912,1.197272355203348,0.7061714779964877,male
192,13V,dark,0.063301928082744,0.0193770350968242,6.533706293706294,7842.321446843629,1.1292962949437484,0.6824154142159946,female
193,13V,dark,0.11800749877707872,0.024715882529096043,9.549122807017545,11803.782013931599,1.5805915215213302,0.854131417896533,female
194,13V,dark,0.09529842666605239,0.027154949883941047,7.018862275449101,9761.075086737796,1.4714893318974966,0.7596948790168255,female
195,13V,dark,0.28856199363945434,0.07536718126471063,7.6574973031283715,25265.608066420853,1.5748525225826362,0.7717783913978333,male
196,13V,dark,0.13283567325711698,0.04588156701947325,5.790372120496161,14916.670715624188,1.3739268323889307,0.7020400143647912,male
197,13V,dark,0.08652049426344909,0.027832468593620215,6.217234664070108,9572.747784031544,1.1744936086719029,0.6667271835792725,male
198,13V,dark,0.15401219804684907,0.04258882609043249,7.231954169318905,14479.847037508001,1.2400876228020739,0.7106397507737995,female
199,13V,dark,0.09729846189702529,0.023523449600060708,8.272465437788018,9403.29280636433,1.4445765739352379,0.8204084333104299,female
200,13V,dark,0.03256019414976145,0.010271183638736183,6.340105540897098,4926.374189304391,1.4718937042186306,0.7257599802547121,female
201,13V,dark,0.06239540804919328,0.014769907871005858,8.448990825688075,6661.088696694953,1.3752222858897976,0.7961554085529413,male
202,13V,dark,0.07445253100664374,0.016490805393590945,9.027796052631578,8012.062763876688,1.296625145694044,0.7593478728752853,male
203,13V,dark,0.05246027369045796,0.01607074379358986,6.528667790893762,6649.502986876888,1.123710926969809,0.6759766090372359,male
204,13V,dark,0.12996841407775475,0.047223054064638,5.500459242250287,15531.163701191068,1.2444226893907075,0.6557890742639605,female
205,13V,dark,0.08309089455505314,0.027940871587168882,5.947623666343356,10101.333788327205,1.135197003094482,0.6557177300418378,female
206,13V,dark,0.08957339356926342,0.028157677574266213,6.362271414821944,9995.733200424365,1.3214739108904718,0.7246268765587135,female
207,13V,dark,0.18339618448563458,0.042832732825916986,8.56493670886076,15856.602776878368,1.4542213966601902,0.7930881107520809,male
208,13V,dark,0.06290083700661393,0.017019269987140696,7.39171974522293,6863.340571337133,1.2697142498033447,0.7144600029068678,male
209,13V,dark,0.2219442889915405,0.06052952152273685,7.33358710255262,18529.436770566048,1.12363392275965,0.7019144046774871,male
210,13V,dark,0.03869580358461599,0.012141135277450687,6.374330357142858,5564.6103523151,1.104579235767396,0.6687919969838638,female
211,13V,dark,0.05412290460401064,0.012899956232291355,8.391176470588237,7021.801139432202,1.4828721358718708,0.8085438473738418,female
212,13V,dark,0.0,0.0,,162.17471585959208,,,female
213,13V,dark,0.0,0.0,,127.89686917640162,,,male
214,13V,dark,0.20710933932440545,0.05313101721304034,7.792908163265305,18193.593640717467,1.432731198269682,0.809844125271562,male
215,13V,dark,0.08571289196151152,0.02543405236135596,6.736780383795309,7819.607982924506,1.139628339157632,0.6934424100341298,male
216,15V,dark,0.0,0.0,,68.69592143652658,,,female
217,15V,dark,0.0,0.0,,224.04187586518796,,,female
218,15V,dark,0.0,0.0,,367.1748576144804,,,female
219,15V,dark,0.0,0.0,,1121.1079179286749,,,male
220,15V,dark,0.02249146487100724,0.005536980105882161,8.12409090909091,3155.0909944537457,1.4817893257857424,0.7620517200546683,male
221,15V,dark,0.05093014973755973,0.011829002953475526,8.611063829787232,7238.220830895459,1.1966292337489377,0.7202256120794978,male
222,15V,dark,0.0,0.0,,511.0650401738466,,,female
223,15V,dark,0.0,0.0,,594.4232670469313,,,female
224,15V,dark,0.0,0.0,,422.2128003838034,,,female
225,15V,dark,0.1288883128192415,0.03250459003066732,7.926413632842758,14208.281994867037,1.4321647676203013,0.7831450141267039,male
226,15V,dark,0.0,0.0,,774.4412895426769,,,male
227,15V,dark,0.11296446139655222,0.02562111703540018,8.818074656188605,15059.922272979356,1.3525452576716346,0.7373402587429875,male
228,15V,dark,0.0004454752176096102,0.00010067236556149384,8.85,335.02753027293363,0.8891350085896927,0.6808262764918868,female
229,15V,dark,0.0,0.0,,794.593959011592,,,female
230,15V,dark,0.25382271848105536,0.049392379353607914,10.277777777777779,26163.33689332203,1.5348102492720286,0.7976947915751029,female
231,15V,dark,0.0,0.0,,1462.934349370659,,,male
232,15V,dark,0.029050269487338562,0.00538597155753992,10.787383177570094,4938.544852489793,1.4330881754145337,0.7747071931693271,male
233,15V,dark,0.046669191865169504,0.010973287846202828,8.505963302752294,6673.936653278369,1.3625020082668189,0.7350653859203696,male
234,15V,dark,0.0,0.0,,315.7646038644246,,,female
235,15V,dark,0.0,0.0,,612.6278031413239,,,female
236,15V,dark,0.005825154752301937,0.001258404569518673,9.258,1376.8728214176251,1.3687697375825776,0.8429779711091663,female
237,15V,dark,0.03173318802955237,0.006141014299251124,10.33483606557377,4023.0636836341,1.6217995783095747,0.8388078616372856,male
238,15V,dark,0.015136090162170596,0.003221515697967803,9.396875000000001,2203.7106662955466,1.672524150917806,0.8960151904769003,male
239,15V,dark,0.0931835999682882,0.02324273239900989,8.01863488624052,10719.111660626473,1.3083860431807897,0.733340740568932,male
