,saccade_peak_s,saccade_start_idx,sacc_peak_idx,saccade_stop_idx,amplitude_deg,top_speed_degPs,saccade_duration_s,direction,id,category,Bodypart,abs_speed_degPs,median_abs_rot_vel_degPs,median_translational_vel_mPs
63,1.68,35,42.0,47,-586.5391343740034,-263.6879689706064,0.45705892468555587,left,52,free,head,263.6879689706064,104.15309966404891,9.230503217656972
64,2.88,72,72.0,74,-1729.5220875357138,-383.4162176095167,0.08897402648986372,left,52,associated,head,383.4162176095167,371.23015522707766,0.0117780570906106
65,3.2,69,80.0,106,-22682.29240397782,-781.870275543797,1.4722743978406674,left,52,associated,head,781.870275543797,207.3875947254976,0.02004857610807389
66,5.16,120,129.0,132,6425.931746044956,467.9412144408186,0.49239798594743034,right,52,associated,head,467.9412144408186,196.48868656462994,0.010322421988381944
67,9.04,148,226.0,230,-16346.65925667028,-394.70458721420147,3.2450021607774304,left,52,associated,head,394.70458721420147,64.7480921549402,1.1959826896689743
68,9.48,231,237.0,242,8525.898642374334,640.4116660861363,0.41110854182220125,right,52,free,head,640.4116660861363,300.1285282904959,1.1177621342321054
69,5.52,113,138.0,146,11186.572517605737,475.30420946441245,1.2893992584160912,right,54,free,head,475.30420946441245,96.23885204426014,0.8611978316756279
70,6.0,147,150.0,153,2355.87348530814,251.2819480441014,0.2466212489379643,right,54,free,head,251.2819480441014,173.76919762192102,1.076370234545859
71,6.48,153,162.0,166,-8975.042962758473,-474.41694695846695,0.5051982697958306,left,54,associated,head,474.41694695846695,313.0732609841225,0.1606211345832578
72,0.88,2,22.0,37,2231.4304420579742,668.9561572138512,1.4221439094087813,right,55,free,head,668.9561572138512,139.01285627823904,0.01881175557895412
73,1.16,26,29.0,35,-7957.892891362965,-621.819477474226,0.3553072945370415,left,55,free,head,621.819477474226,358.0490188965552,11.41975303130049
74,2.24,52,56.0,61,3210.5501033072564,299.0178083630875,0.38895302943074966,right,55,associated,head,299.0178083630875,108.41395266291923,0.02307507644173279
75,2.92,66,73.0,80,14434.76318857124,877.5559063392931,0.5758022333401351,right,55,associated,head,877.5559063392931,351.61090670010606,0.014914364751610546
76,3.56,82,89.0,105,-16581.879475381127,-806.7451557731971,0.9331115065014592,left,55,free,head,806.7451557731971,270.58111702010166,0.011353283629940219
77,3.92,95,98.0,104,-4868.920041798122,-330.38181597679886,0.3696494873964889,left,55,free,head,330.38181597679886,249.99964928424276,0.053091823719313896
78,6.52,155,163.0,175,-24472.65421345312,-1131.0772367395173,0.7868404755820165,left,55,associated,head,1131.0772367395173,410.1406965282649,1.044476987198903
79,8.8,216,220.0,223,-7512.4343677563975,-710.8896325433161,0.2822607299131175,left,55,associated,head,710.8896325433161,452.6646711856607,8.094220926707852
80,9.04,225,226.0,228,4786.591668036703,741.1821478459908,0.12328490248450294,right,55,associated,head,741.1821478459908,673.6812330241037,24.586365745192087
81,9.2,229,230.0,232,4520.772522345478,675.0295327771188,0.11695663081840166,right,55,associated,head,675.0295327771188,648.7647992191594,3.6904519036707715
82,9.36,215,234.0,244,15330.278970492212,746.7852884264834,1.1611280960751593,right,55,associated,head,746.7852884264834,552.0235989679443,8.012561314446508
83,1.72,33,43.0,61,-14011.529252936674,-569.850665675473,1.1008795008919947,left,56,associated,head,569.850665675473,144.80506350270588,1.1801745382969167
84,3.68,83,92.0,125,-7643.525226248116,-373.26708120333075,1.6573821045492088,left,56,free,head,373.26708120333075,104.64486957259425,0.4486821750647149
85,4.8,108,120.0,124,25.089764982655318,259.51767796715313,0.6683419305978947,right,56,free,head,259.51767796715313,129.85037986443757,0.0217231270045635
86,6.68,157,167.0,197,-12302.692126556276,-486.1770729549734,1.568267284746221,left,56,associated,head,486.1770729549734,76.43802135846443,0.3957594402647532
87,9.0,217,225.0,228,4420.019806160122,348.9735885781878,0.43320020324672326,right,56,associated,head,348.9735885781878,144.76222391324356,2.380597821895306
88,9.36,231,234.0,237,-5604.175131845043,-557.891598453291,0.23684823228652818,left,56,free,head,557.891598453291,376.42756026773725,3.57607423042768
89,9.72,242,243.0,245,-2943.696518656494,-452.5212149905493,0.11213377384938326,left,56,free,head,452.5212149905493,415.95434788035703,0.4662282920636069
