saccade_duration_msec,saccade_type,species,dataset,bodypart,id
1795.2298227166204,saccade,gentoo,confined,head,confined head gentoo
464.5798004249152,saccade,gentoo,confined,head,confined head gentoo
537.2888575089689,saccade,gentoo,confined,head,confined head gentoo
713.1632946535977,saccade,gentoo,confined,head,confined head gentoo
659.2593142311671,saccade,gentoo,confined,head,confined head gentoo
514.2011913737053,saccade,gentoo,confined,head,confined head gentoo
266.9746313523103,saccade,gentoo,confined,head,confined head gentoo
588.3935372644987,saccade,gentoo,confined,head,confined head gentoo
459.2816877988548,saccade,gentoo,confined,head,confined head gentoo
2583.8152303465445,saccade,gentoo,confined,head,confined head gentoo
363.69695903065576,saccade,gentoo,confined,head,confined head gentoo
270.4677196891919,saccade,gentoo,confined,head,confined head gentoo
383.65600732037706,saccade,gentoo,confined,head,confined head gentoo
93.31986512789284,saccade,gentoo,confined,head,confined head gentoo
1508.0075448702212,saccade,gentoo,confined,head,confined head gentoo
240.2650606193879,saccade,gentoo,confined,head,confined head gentoo
177.1649422191308,saccade,gentoo,confined,head,confined head gentoo
84.01228928895691,saccade,gentoo,confined,head,confined head gentoo
534.0930114024719,saccade,gentoo,confined,head,confined head gentoo
1556.6078481416264,saccade,gentoo,confined,head,confined head gentoo
44.97269476032116,saccade,gentoo,confined,head,confined head gentoo
344.3799100949548,saccade,gentoo,confined,head,confined head gentoo
689.4516423015361,saccade,gentoo,confined,head,confined head gentoo
577.0587126459216,saccade,gentoo,confined,head,confined head gentoo
69.11310150409122,saccade,gentoo,confined,head,confined head gentoo
764.7278772569683,saccade,gentoo,confined,head,confined head gentoo
1570.739583538944,saccade,gentoo,confined,head,confined head gentoo
544.251863216403,saccade,gentoo,confined,head,confined head gentoo
955.0224795408218,saccade,gentoo,confined,head,confined head gentoo
959.7036565535352,saccade,gentoo,confined,head,confined head gentoo
49.573003187294375,saccade,gentoo,confined,head,confined head gentoo
723.683238434013,saccade,gentoo,confined,head,confined head gentoo
432.6207874023101,saccade,gentoo,confined,head,confined head gentoo
81.49546565564037,saccade,gentoo,confined,head,confined head gentoo
510.8587177306504,saccade,gentoo,confined,head,confined head gentoo
2266.2259554169214,saccade,gentoo,confined,head,confined head gentoo
210.97054707024995,saccade,gentoo,confined,head,confined head gentoo
339.80070733997195,saccade,gentoo,confined,head,confined head gentoo
793.7538995303589,saccade,gentoo,confined,head,confined head gentoo
721.1464540893886,saccade,gentoo,confined,head,confined head gentoo
1321.0350568140052,saccade,gentoo,confined,head,confined head gentoo
651.6519647209009,saccade,gentoo,confined,head,confined head gentoo
784.9272007642116,saccade,gentoo,confined,head,confined head gentoo
550.101359861664,saccade,gentoo,confined,head,confined head gentoo
314.002717502604,saccade,gentoo,confined,head,confined head gentoo
57.21953580212528,saccade,gentoo,confined,head,confined head gentoo
935.2501944667432,saccade,gentoo,confined,head,confined head gentoo
451.9810153088167,saccade,gentoo,confined,head,confined head gentoo
752.7490206451625,saccade,gentoo,confined,head,confined head gentoo
362.9311254146001,saccade,gentoo,confined,head,confined head gentoo
1097.0389143916327,saccade,gentoo,confined,head,confined head gentoo
567.4767933611247,saccade,gentoo,confined,head,confined head gentoo
1502.7085618585495,saccade,gentoo,confined,head,confined head gentoo
318.3796326835511,saccade,gentoo,confined,head,confined head gentoo
726.6065446430616,saccade,gentoo,confined,head,confined head gentoo
926.141686278614,saccade,gentoo,confined,head,confined head gentoo
118.4956141363496,saccade,gentoo,confined,head,confined head gentoo
354.167113578424,saccade,gentoo,confined,head,confined head gentoo
