sex,stimulus_01_name,stimulus_01_amplitude,stimulus_01_amplitude_unit,preference_index,decision_duration_index,id
female,Salt,4.0,%,-0.1937319862236881,-0.2264782287980671,female_4.0
male,Salt,4.0,%,0.8388292829451908,0.8669385965748267,male_4.0
female,Salt,4.0,%,-0.7671121528893595,-0.7633363428549474,female_4.0
male,Salt,4.0,%,-0.7385204215383002,-0.7353624757235188,male_4.0
female,Salt,4.0,%,0.5628289709941209,0.5624473700425148,female_4.0
male,Salt,4.0,%,-0.5384102935018462,-0.5380893879222498,male_4.0
female,Salt,4.0,%,0.8968698257510053,0.8961379269273144,female_4.0
male,Salt,4.0,%,-0.890351374862892,-0.8904586288416075,male_4.0
female,Salt,4.0,%,0.6393708293612965,0.7391963915492673,female_4.0
male,Salt,4.0,%,0.2203109786681615,0.2347128655727264,male_4.0
female,Salt,4.0,%,-0.1629687297262229,-0.1794584991939994,female_4.0
male,Salt,4.0,%,0.0521550544290737,0.0521550544290737,male_4.0
female,Salt,4.0,%,-0.433800494641385,-0.4335027683551743,female_4.0
male,Salt,4.0,%,0.9314107852696318,0.9293071794376268,male_4.0
female,Salt,4.0,%,-0.786941971692121,-0.7781857302184191,female_4.0
male,Salt,4.0,%,-0.7665613272763183,-0.765202534914675,male_4.0
female,Salt,4.0,%,0.5522639584903988,0.5522639584903987,female_4.0
male,Salt,4.0,%,-0.8256246058312715,-0.8131478535707973,male_4.0
female,Salt,4.0,%,0.8460018070928393,0.8460018070928393,female_4.0
male,Salt,4.0,%,-0.1791605981856431,-0.1548481314136177,male_4.0
female,Salt,4.0,%,-0.1136283698508265,-0.1693079738874466,female_4.0
male,Salt,6.0,%,-0.9987399940705604,-0.9982043834169528,male_6.0
female,Salt,6.0,%,-0.3018322277948552,-0.8398593803589802,female_6.0
male,Salt,6.0,%,-0.452584479142391,-0.3800515180946751,male_6.0
female,Salt,6.0,%,0.939841777164848,0.9397654435021132,female_6.0
male,Salt,6.0,%,-0.9893214512070986,-0.9992858176904889,male_6.0
female,Salt,6.0,%,-0.8702672657371809,-0.9234565548780488,female_6.0
male,Salt,6.0,%,-1.0,-1.0,male_6.0
female,Salt,6.0,%,-1.0,-1.0,female_6.0
male,Salt,6.0,%,0.9982161817795708,0.9974969208152886,male_6.0
