mechanic,final_infected_count
MK+ER,4494
MK+ER,2056
MK+ER,3865
MK+ER,10941
MK+ER,9973
MK+ER,8749
MK+ER,8208
MK+ER,7552
MK+ER,6232
MK+ER,9516
MK+ER,5699
MK+ER,9040
MK+ER,11171
MK+ER,9306
MK+ER,6817
MK+ER,10008
MK+ER,7296
MK+ER,11340
MK+ER,5169
MK+ER,8814
MK+ER,3576
MK+ER,7627
MK+ER,7117
MK+ER,10454
MK+ER,8372
MK+ER,9753
MK+ER,9877
MK+ER,8412
MK+ER,6337
MK+ER,10078
MK+ER,9826
MK+ER,6817
MK+ER,7317
MK+ER,10227
MK+ER,8903
MK+ER,7950
MK+ER,9434
MK+ER,7018
MK+ER,3898
MK+ER,5658
MK+ER,7141
MK+ER,7539
MK+ER,9415
CI+ER,3839
CI+ER,5667
CI+ER,6313
CI+ER,1703
CI+ER,11683
CI+ER,4798
CI+ER,4584
CI+ER,3995
CI+ER,4283
CI+ER,4998
CI+ER,3277
CI+ER,5317
CI+ER,6278
CI+ER,4592
CI+ER,2799
CI+ER,2892
CI+ER,2256
CI+ER,4937
CI+ER,3095
CI+ER,2190
CI+ER,4379
CI+ER,4675
CI+ER,2497
CI+ER,2363
CI+ER,5450
CI+ER,6462
CI+ER,4781
CI+ER,4906
CI+ER,5214
CI+ER,4637
CI+ER,4012
CI+ER,3674
CI+ER,5411
CI+ER,5863
CI+ER,5025
CI+ER,3164
CI+ER,5667
CI+ER,7924
CI+ER,1619
CI+ER,6927
CI+ER,4319
CI+ER,2791
CI+ER,1675
CI+ER,2792
CI+ER,1656
CI+ER,2523
CI+ER,3876
CI+ER,3391
CI+ER,4348
CI+ER,3225
CI+ER,5621
CI+ER,4355
CI+ER,1312
CI+ER,5138
CI+ER,685
CI+ER,3012
CI+ER,6227
CI+ER,4444
CI+ER,3083
CI+ER,3947
CI+ER,3330
CI+ER,8270
CI+ER,8138
CI+ER,2480
CI+ER,4332
CI+ER,5392
CI+ER,2500
CI+ER,5764
CI+ER,3038
CI+ER,5497
CI+ER,3191
CI+ER,3734
CI+ER,2044
CI+ER,3530
CI+ER,6898
CI+ER,4578
CI+ER,6548
CI+ER,1779
CI+ER,5093
CI+ER,5360
CI+ER,3638
CI+ER,3072
CI+ER,4871
CI+ER,5290
CI+ER,2323
CI+ER,4591
CI+ER,1115
CI+ER,5565
CI+ER,6769
CI+ER,4951
CI+ER,5743
CI+ER,4895
CI+ER,5709
CI+ER,6088
CI+ER,8673
CI+ER,1997
CI+ER,3560
CI+ER,3056
CI+ER,2604
CI+ER,5481
CI+ER,5706
CI+ER,5063
CI+ER,5674
CI+ER,2020
CI+ER,1588
CI+ER,2072
CI+ER,5097
CI+ER,7689
CI+ER,3806
CI+ER,4127
CI+ER,3200
CI+ER,4127
CI+ER,4194
CI+ER,2083
CI+ER,3642
CI+ER,1885
CI+ER,4870
CI+ER,5696
CI+ER,4654
CI+ER,4773
CI+ER,4076
CI+ER,4231
CI+ER,5796
CI+ER,9645
CI+ER,4269
CI+ER,2100
CI+ER,2346
CI+ER,6824
CI+ER,5020
CI+ER,3446
CI+ER,4363
CI+ER,5146
CI+ER,4665
CI+ER,3070
CI+ER,1812
CI+ER,4395
CI+ER,1849
CI+ER,1876
CI+ER,3657
CI+ER,3999
CI+ER,3438
CI+ER,3762
CI+ER,1283
CI+ER,940
CI+ER,4287
CI+ER,3907
CI+ER,4649
CI+ER,3235
CI+ER,1764
CI+ER,4588
CI+ER,6413
CI+ER,3963
CI+ER,4308
CI+ER,2110
CI+ER,7131
CI+ER,828
CI+ER,6711
CI+ER,1802
CI+ER,3255
CI+ER,1632
CI+ER,6350
CI+ER,5601
CI+ER,2756
CI+ER,4502
CI+ER,3588
CI+ER,3403
CI+ER,2716
CI+ER,4454
CI+ER,4359
CI+ER,3029
CI+ER,3221
CI+ER,5371
CI+ER,10346
CI+ER,5361
CI+ER,3230
CI+ER,9572
CI+ER,2450
CI+ER,1599
CI+ER,3425
CI+ER,4766
CI+ER,2404
CI+ER,2666
CI+ER,2687
CI+ER,3214
CI+ER,3959
CI+ER,5088
CI+ER,9064
CI+ER,4176
CI+ER,2143
CI+ER,1748
CI+ER,4397
CI+ER,2171
CI+ER,4514
CI+ER,4352
CI+ER,6915
CI+ER,6676
CI+ER,2556
CI+ER,4070
CI+ER,7548
CI+ER,3776
MK+ER+IE,11730
MK+ER+IE,13135
MK+ER+IE,5726
MK+ER+IE,12554
MK+ER+IE,8077
MK+ER+IE,11824
MK+ER+IE,11973
MK+ER+IE,11624
MK+ER+IE,9603
MK+ER+IE,6961
MK+ER+IE,9412
MK+ER+IE,9562
MK+ER+IE,11781
MK+ER+IE,14667
MK+ER+IE,14840
MK+ER+IE,15036
MK+ER+IE,12593
MK+ER+IE,10949
MK+ER+IE,14233
MK+ER+IE,13595
MK+ER+IE,13185
MK+ER+IE,9793
MK+ER+IE,13771
MK+ER+IE,8858
MK+ER+IE,13363
MK+ER+IE,9703
MK+ER+IE,4895
MK+ER+IE,11025
MK+ER+IE,11187
MK+ER+IE,11711
MK+ER+IE,13127
MK+ER+IE,2371
MK+ER+IE,10509
MK+ER+IE,15503
MK+ER+IE,8254
MK+ER+IE,12009
MK+ER+IE,10188
MK+ER+IE,12742
MK+ER+IE,12868
MK+ER+IE,11993
MK+ER+IE,13920
MK+ER+IE,7472
MK+ER+IE,11724
MK+ER+IE,12693
