mechanic,replicate,final_infected_count
MK+ER,10,7633
MK+ER,11,12467
MK+ER,12,6907
MK+ER,13,2144
MK+ER,14,8897
MK+ER,15,8745
MK+ER,16,12684
MK+ER,17,9264
MK+ER,18,8496
MK+ER,19,8974
MK+ER,20,8447
MK+ER,21,9677
MK+ER,22,4756
MK+ER,23,8595
MK+ER,24,9814
MK+ER,25,7575
MK+ER,26,12813
MK+ER,27,7260
MK+ER,28,9434
MK+ER,29,9438
MK+ER,30,8634
MK+ER,31,6569
MK+ER,32,3647
MK+ER,33,9314
MK+ER,34,11519
MK+ER,35,8143
MK+ER,36,8876
MK+ER,37,6893
MK+ER,38,8145
MK+ER,39,4230
MK+ER,40,5146
MK+ER,41,10461
MK+ER,42,8191
MK+ER,43,10364
MK+ER,44,8929
MK+ER,45,10642
MK+ER,46,11700
MK+ER,47,11867
MK+ER,48,7970
MK+ER,49,10035
MK+ER,50,9933
MK+ER,51,9206
MK+ER,52,8345
MK+ER,53,6416
MK+ER,54,6918
MK+ER,55,13679
MK+ER,56,6321
MK+ER,57,12371
MK+ER,58,3600
MK+ER,59,8874
MK+ER,60,5089
MK+ER,61,10798
MK+ER,62,9705
MK+ER,63,6642
MK+ER,64,9339
MK+ER,65,5336
MK+ER,66,10898
MK+ER,67,11721
MK+ER,68,11225
MK+ER,69,4144
MK+ER,70,5076
MK+ER,71,6385
MK+ER,72,9447
MK+ER,73,8038
MK+ER,74,10074
MK+ER,75,5873
MK+ER,76,4330
MK+ER,77,10440
MK+ER,78,9427
MK+ER,79,8807
MK+ER,80,7082
MK+ER,81,6368
MK+ER,82,5186
MK+ER,83,10331
MK+ER,84,8615
MK+ER,85,11282
MK+ER,86,13996
MK+ER,87,9119
MK+ER,88,9112
MK+ER,89,8884
MK+ER,90,7701
MK+ER,91,8564
MK+ER,92,6696
MK+ER,93,9651
MK+ER,94,7213
MK+ER,95,2755
MK+ER,96,8218
MK+ER,97,7698
MK+ER,98,9067
MK+ER,99,10191
MK+ER,100,8665
MK+ER,101,9955
MK+ER,102,3521
MK+ER,103,9261
MK+ER,104,4906
MK+ER,105,7750
MK+ER,106,8129
MK+ER,107,8638
MK+ER,108,6453
MK+ER,109,4335
MK+ER,110,5910
MK+ER,111,6851
MK+ER,112,8144
MK+ER,113,11277
MK+ER,114,12100
MK+ER,115,11983
MK+ER,116,9489
MK+ER,117,9176
MK+ER,118,10595
MK+ER,119,10864
MK+ER,120,9209
MK+ER,121,6293
MK+ER,122,9968
MK+ER,123,6170
MK+ER,124,10236
MK+ER,125,5349
MK+ER,126,2439
MK+ER,127,7683
MK+ER,128,6948
MK+ER,129,7995
MK+ER,130,9908
MK+ER,131,1302
MK+ER,132,7015
MK+ER,133,12113
MK+ER,134,5529
MK+ER,135,7606
MK+ER,136,6680
MK+ER,137,8952
MK+ER,138,10017
MK+ER,139,8265
MK+ER,140,10609
MK+ER,141,4691
MK+ER,142,8942
MK+ER,143,9499
MK+ER,144,12968
MK+ER,145,11011
MK+ER,146,7158
MK+ER,147,10999
MK+ER,148,9763
MK+ER,149,6559
MK+ER,150,9382
MK+ER,151,9356
MK+ER,152,5345
MK+ER,153,8802
MK+ER,154,10615
MK+ER,155,6879
MK+ER,156,6206
MK+ER,157,4494
MK+ER,158,2056
MK+ER,159,3865
MK+ER,160,10941
MK+ER,161,9973
MK+ER,162,8749
MK+ER,163,8208
MK+ER,164,7552
MK+ER,165,6232
MK+ER,166,9516
MK+ER,167,5699
MK+ER,168,9040
MK+ER,169,11171
MK+ER,170,9306
MK+ER,171,6817
MK+ER,172,10008
MK+ER,173,7296
MK+ER,174,11340
MK+ER,175,5169
MK+ER,176,8814
MK+ER,177,3576
MK+ER,178,7627
MK+ER,179,7117
MK+ER,180,10454
MK+ER,181,8372
MK+ER,182,9753
MK+ER,183,9877
MK+ER,184,8412
MK+ER,185,6337
MK+ER,186,10078
MK+ER,187,9826
MK+ER,188,6817
MK+ER,189,7317
MK+ER,190,10227
MK+ER,191,8903
MK+ER,192,7950
MK+ER,193,9434
MK+ER,194,7018
MK+ER,195,3898
MK+ER,196,5658
MK+ER,197,7141
MK+ER,198,7539
MK+ER,199,9415
MK+ER+IE,0,11730
MK+ER+IE,1,13135
MK+ER+IE,2,5726
MK+ER+IE,3,12554
MK+ER+IE,4,8077
MK+ER+IE,5,11824
MK+ER+IE,6,11973
MK+ER+IE,7,11624
MK+ER+IE,8,9603
MK+ER+IE,9,6961
MK+ER+IE,10,9412
MK+ER+IE,11,9562
MK+ER+IE,12,11781
MK+ER+IE,13,14667
MK+ER+IE,14,14840
MK+ER+IE,15,15036
MK+ER+IE,16,12593
MK+ER+IE,17,10949
MK+ER+IE,18,14233
MK+ER+IE,19,13595
MK+ER+IE,20,13185
MK+ER+IE,21,9793
MK+ER+IE,22,13771
MK+ER+IE,23,8858
MK+ER+IE,24,13363
MK+ER+IE,25,9703
MK+ER+IE,26,4895
MK+ER+IE,27,11025
MK+ER+IE,28,11187
MK+ER+IE,29,11711
MK+ER+IE,30,13127
MK+ER+IE,31,2371
MK+ER+IE,32,10509
MK+ER+IE,33,15503
MK+ER+IE,34,8254
MK+ER+IE,35,12009
MK+ER+IE,36,10188
MK+ER+IE,37,12742
MK+ER+IE,38,12868
MK+ER+IE,39,11993
MK+ER+IE,40,13920
MK+ER+IE,41,7472
MK+ER+IE,42,11724
MK+ER+IE,43,12693
MK+ER+IE,44,15455
MK+ER+IE,45,14382
MK+ER+IE,46,9504
MK+ER+IE,47,14166
MK+ER+IE,48,13113
MK+ER+IE,49,9245
MK+ER+IE,50,12928
MK+ER+IE,51,12926
MK+ER+IE,52,7786
MK+ER+IE,53,12179
MK+ER+IE,54,13689
MK+ER+IE,55,9926
MK+ER+IE,56,10272
MK+ER+IE,57,7802
MK+ER+IE,58,4054
MK+ER+IE,59,7875
MK+ER+IE,60,13786
MK+ER+IE,61,12745
MK+ER+IE,62,11882
MK+ER+IE,63,12003
MK+ER+IE,64,10475
MK+ER+IE,65,9251
MK+ER+IE,66,13526
MK+ER+IE,67,8008
MK+ER+IE,68,12498
MK+ER+IE,69,14665
MK+ER+IE,70,13149
MK+ER+IE,71,10223
MK+ER+IE,72,13256
MK+ER+IE,73,10860
MK+ER+IE,74,14648
MK+ER+IE,75,9103
MK+ER+IE,76,11617
MK+ER+IE,77,5447
MK+ER+IE,78,10338
MK+ER+IE,79,9864
MK+ER+IE,80,14031
MK+ER+IE,81,11931
MK+ER+IE,82,13831
MK+ER+IE,83,12813
