mechanic,replicate,final_population_size
MK+IE,52,19970
MK+IE,53,19985
MK+IE,54,20000
MK+IE,55,20000
MK+IE,56,20000
MK+IE,57,19994
MK+IE,58,19998
MK+IE,59,20000
MK+IE,60,20000
MK+IE,61,20000
MK+IE,62,19993
MK+IE,63,20000
MK+IE,64,19991
MK+IE,65,20000
MK+IE,66,19998
MK+IE,67,20000
MK+IE,68,20000
MK+IE,69,20000
MK+IE,70,20000
MK+IE,71,19992
MK+IE,72,20000
MK+IE,73,19998
MK+IE,74,20000
MK+IE,75,20000
MK+IE,76,20000
MK+IE,77,20000
MK+IE,78,19998
MK+IE,79,20000
MK+IE,80,19996
MK+IE,81,20000
MK+IE,82,19994
MK+IE,83,20000
MK+IE,84,19996
MK+IE,85,20000
MK+IE,86,20000
MK+IE,87,19999
MK+IE,88,19991
MK+IE,89,19999
MK+IE,90,19998
MK+IE,91,19998
MK+IE,92,19997
MK+IE,93,20000
MK+IE,94,20000
MK+IE,95,20000
MK+IE,96,20000
MK+IE,97,20000
MK+IE,98,20000
MK+IE,99,20000
MK+IE,100,19979
MK+IE,101,20000
MK+IE,102,19995
MK+IE,103,20000
MK+IE,104,20000
MK+IE,105,20000
MK+IE,106,20000
MK+IE,107,20000
MK+IE,108,20000
MK+IE,109,19998
MK+IE,110,20000
MK+IE,111,20000
MK+IE,112,20000
MK+IE,113,19927
MK+IE,114,20000
MK+IE,115,20000
MK+IE,116,20000
MK+IE,117,20000
MK+IE,118,20000
MK+IE,119,20000
MK+IE,120,19989
MK+IE,121,19939
MK+IE,122,19999
MK+IE,123,20000
MK+IE,124,20000
MK+IE,125,20000
MK+IE,126,19997
MK+IE,127,19997
MK+IE,128,19995
MK+IE,129,20000
MK+IE,130,19999
MK+IE,131,19999
MK+IE,132,20000
MK+IE,133,20000
MK+IE,134,20000
MK+IE,135,20000
MK+IE,136,20000
MK+IE,137,19998
MK+IE,138,19999
MK+IE,139,19997
MK+IE,140,20000
MK+IE,141,20000
MK+IE,142,20000
MK+IE,143,20000
MK+IE,144,20000
MK+IE,145,19996
MK+IE,146,20000
MK+IE,147,20000
MK+IE,148,20000
MK+IE,149,20000
MK+IE,150,19999
MK+IE,151,20000
MK+IE,152,20000
MK+IE,153,20000
MK+IE,154,19998
MK+IE,155,20000
MK+IE,156,19997
MK+IE,157,20000
MK+IE,158,20000
MK+IE,159,20000
MK+IE,160,19998
MK+IE,161,20000
MK+IE,162,19998
MK+IE,163,20000
MK+IE,164,20000
MK+IE,165,20000
MK+IE,166,20000
MK+IE,167,20000
MK+IE,168,19998
MK+IE,169,19996
MK+IE,170,19998
MK+IE,171,20000
MK+IE,172,20000
MK+IE,173,20000
MK+IE,174,19999
MK+IE,175,19997
MK+IE,176,19996
MK+IE,177,20000
MK+IE,178,20000
MK+IE,179,20000
MK+IE,180,19991
MK+IE,181,19994
MK+IE,182,20000
MK+IE,183,20000
MK+IE,184,20000
MK+IE,185,20000
MK+IE,186,19999
MK+IE,187,20000
MK+IE,188,19960
MK+IE,189,20000
MK+IE,190,20000
MK+IE,191,20000
MK+IE,192,19999
MK+IE,193,20000
MK+IE,194,19998
MK+IE,195,20000
MK+IE,196,19999
MK+IE,197,19818
MK+IE,198,19998
MK+IE,199,20000
MK+ER,0,19907
MK+ER,1,19999
MK+ER,2,19911
MK+ER,3,19992
MK+ER,4,19999
MK+ER,5,20000
MK+ER,6,19992
MK+ER,7,20000
MK+ER,8,19993
MK+ER,9,19993
MK+ER,10,19995
MK+ER,11,19996
MK+ER,12,19983
MK+ER,13,19892
MK+ER,14,19997
MK+ER,15,20000
MK+ER,16,20000
MK+ER,17,19998
MK+ER,18,19988
MK+ER,19,19999
MK+ER,20,20000
MK+ER,21,20000
MK+ER,22,19987
MK+ER,23,19993
MK+ER,24,19994
MK+ER,25,19999
MK+ER,26,20000
MK+ER,27,19980
MK+ER,28,19997
MK+ER,29,19988
MK+ER,30,19999
MK+ER,31,19970
MK+ER,32,19858
MK+ER,33,19998
MK+ER,34,20000
MK+ER,35,20000
MK+ER,36,19997
MK+ER,37,20000
MK+ER,38,19988
MK+ER,39,19989
MK+ER,40,19973
MK+ER,41,19997
MK+ER,42,19980
MK+ER,43,19991
MK+ER,44,19998
MK+ER,45,19991
MK+ER,46,20000
MK+ER,47,19997
MK+ER,48,20000
MK+ER,49,20000
MK+ER,50,20000
MK+ER,51,19996
MK+ER,52,20000
MK+ER,53,19999
MK+ER,54,20000
MK+ER,55,19998
MK+ER,56,19996
MK+ER,57,20000
MK+ER,58,19879
MK+ER,59,20000
MK+ER,60,19978
MK+ER,61,19993
MK+ER,62,20000
MK+ER,63,19979
MK+ER,64,19999
MK+ER,65,19971
MK+ER,66,20000
MK+ER,67,19999
MK+ER,68,19998
MK+ER,69,19949
MK+ER,70,19990
MK+ER,71,19988
MK+ER,72,19980
MK+ER,73,19997
MK+ER,74,19998
MK+ER,75,20000
MK+ER,76,19994
MK+ER,77,20000
MK+ER,78,19999
MK+ER,79,19999
MK+ER,80,20000
MK+ER,81,19980
MK+ER,82,19945
MK+ER,83,19998
MK+ER,84,19994
MK+ER,85,19999
MK+ER,86,19997
MK+ER,87,19994
MK+ER,88,20000
MK+ER,89,19999
MK+ER,90,20000
MK+ER,91,19996
MK+ER,92,19993
MK+ER,93,20000
MK+ER,94,19989
MK+ER,95,19888
MK+ER,96,19996
MK+ER,97,19985
MK+ER,98,19997
MK+ER,99,20000
MK+ER,100,20000
MK+ER,101,19987
MK+ER,102,19893
MK+ER,103,19996
MK+ER,104,19970
MK+ER,105,19996
MK+ER,106,20000
MK+ER,107,19993
MK+ER,108,19970
MK+ER,109,19921
MK+ER,110,19989
MK+ER,111,19987
MK+ER,112,19999
MK+ER,113,19997
MK+ER,114,19996
MK+ER,115,20000
MK+ER,116,19992
MK+ER,117,19997
MK+ER,118,20000
MK+ER,119,20000
MK+ER,120,19993
MK+ER,121,19996
MK+ER,122,19991
MK+ER,123,19996
MK+ER,124,20000
MK+ER,125,19965
MK+ER,126,19871
MK+ER,127,19982
MK+ER,128,19991
MK+ER,129,19996
MK+ER,130,20000
MK+ER,131,19705
MK+ER,132,20000
MK+ER,133,20000
MK+ER,134,19954
MK+ER,135,20000
MK+ER,136,19980
MK+ER,137,19997
MK+ER,138,19999
MK+ER,139,19987
MK+ER,140,19999
MK+ER,141,19943
MK+ER,142,20000
MK+ER,143,19970
MK+ER,144,20000
MK+ER,145,19994
MK+ER,146,19999
MK+ER,147,20000
MK+ER,148,20000
MK+ER,149,20000
MK+ER,150,19995
MK+ER,151,20000
MK+ER,152,19987
MK+ER,153,20000
MK+ER,154,20000
MK+ER,155,20000
MK+ER,156,19989
MK+ER,157,19984
MK+ER,158,19793
MK+ER,159,19907
MK+ER,160,19999
MK+ER,161,20000
MK+ER,162,19994
MK+ER,163,19996
MK+ER,164,20000
MK+ER,165,19996
MK+ER,166,19995
MK+ER,167,19979
MK+ER,168,19992
MK+ER,169,20000
MK+ER,170,20000
MK+ER,171,19958
MK+ER,172,19996
MK+ER,173,19993
MK+ER,174,20000
MK+ER,175,19958
MK+ER,176,19998
MK+ER,177,19905
MK+ER,178,19979
MK+ER,179,19988
MK+ER,180,20000
MK+ER,181,19991
MK+ER,182,19998
MK+ER,183,19998
MK+ER,184,20000
MK+ER,185,20000
MK+ER,186,20000
MK+ER,187,19998
MK+ER,188,19984
MK+ER,189,20000
MK+ER,190,20000
MK+ER,191,19997
MK+ER,192,20000
MK+ER,193,20000
MK+ER,194,19980
MK+ER,195,19969
MK+ER,196,19992
MK+ER,197,19993
MK+ER,198,19988
MK+ER,199,19997
MK+ER+IE,0,20000
MK+ER+IE,1,20000
MK+ER+IE,2,19995
MK+ER+IE,3,20000
MK+ER+IE,4,19998
MK+ER+IE,5,19998
MK+ER+IE,6,20000
MK+ER+IE,7,20000
MK+ER+IE,8,19997
MK+ER+IE,9,19992
MK+ER+IE,10,20000
MK+ER+IE,11,19999
MK+ER+IE,12,20000
MK+ER+IE,13,20000
MK+ER+IE,14,20000
MK+ER+IE,15,20000
MK+ER+IE,16,20000
MK+ER+IE,17,19999
MK+ER+IE,18,20000
MK+ER+IE,19,20000
MK+ER+IE,20,19997
MK+ER+IE,21,19998
MK+ER+IE,22,20000
MK+ER+IE,23,20000
MK+ER+IE,24,20000
MK+ER+IE,25,19997
MK+ER+IE,26,19990
MK+ER+IE,27,19995
MK+ER+IE,28,19999
MK+ER+IE,29,19999
MK+ER+IE,30,20000
MK+ER+IE,31,19920
MK+ER+IE,32,20000
MK+ER+IE,33,20000
MK+ER+IE,34,19990
MK+ER+IE,35,20000
MK+ER+IE,36,20000
MK+ER+IE,37,20000
MK+ER+IE,38,20000
MK+ER+IE,39,20000
MK+ER+IE,40,19999
MK+ER+IE,41,19999
MK+ER+IE,42,20000
MK+ER+IE,43,20000
MK+ER+IE,44,20000
MK+ER+IE,45,20000
MK+ER+IE,46,19997
MK+ER+IE,47,19999
MK+ER+IE,48,20000
MK+ER+IE,49,20000
MK+ER+IE,50,20000
MK+ER+IE,51,20000
MK+ER+IE,52,19995
MK+ER+IE,53,19999
MK+ER+IE,54,20000
MK+ER+IE,55,20000
MK+ER+IE,56,20000
MK+ER+IE,57,20000
MK+ER+IE,58,19975
MK+ER+IE,59,19997
MK+ER+IE,60,20000
MK+ER+IE,61,20000
MK+ER+IE,62,20000
MK+ER+IE,63,19998
MK+ER+IE,64,19997
MK+ER+IE,65,19996
MK+ER+IE,66,20000
MK+ER+IE,67,19997
MK+ER+IE,68,19998
MK+ER+IE,69,20000
MK+ER+IE,70,19998
MK+ER+IE,71,20000
MK+ER+IE,72,19995
MK+ER+IE,73,20000
MK+ER+IE,74,20000
MK+ER+IE,75,19992
MK+ER+IE,76,19991
MK+ER+IE,77,19998
MK+ER+IE,78,20000
MK+ER+IE,79,20000
MK+ER+IE,80,20000
MK+ER+IE,81,19998
