mechanic,final_infection_rate
MK,0.322264
MK,0.5668
MK,0.163938
MK,0.322413
MK,0.330066
MK,0.39762
MK,0.296092
MK,0.227067
MK,0.411844
MK,0.46585
MK,0.456173
MK,0.268888
MK,0.256134
MK,0.48945
MK,0.261389
MK,0.124924
MK,0.240449
MK,0.390048
MK,0.295699
MK,0.387705
MK,0.349152
MK,0.185326
MK,0.431043
MK,0.366608
MK,0.393838
MK,0.485274
MK,0.362449
MK,0.234159
MK,0.4152
MK,0.453359
MK,0.5125
MK,0.26758
MK,0.268811
MK,0.293417
MK,0.148116
MK,0.330067
MK,0.463746
MK,0.313804
MK,0.377382
MK,0.299794
MK,0.200482
MK,0.266613
MK,0.537581
MK,0.206418
MK,0.342673
MK,0.356982
MK,0.369672
MK,0.111234
MK,0.5538
MK,0.496775
MK,0.328982
MK,0.14377
MK,0.424876
MK,0.131697
MK,0.369646
MK,0.24066
MK,0.420734
MK,0.236668
MK,0.453618
MK,0.180485
MK,0.38975
MK,0.31205
MK,0.4146
CI,0.150131
CI,0.103501
CI,0.172424
CI,0.225623
CI,0.11198
CI,0.036636
CI,0.150005
CI,0.121912
CI,0.076605
CI,0.179154
CI,0.081893
CI,0.254047
CI,0.094155
CI,0.195327
CI,0.198548
CI,0.196043
CI,0.078892
CI,0.22479
CI,0.189621
CI,0.460909
CI,0.128799
CI,0.230877
CI,0.15088
CI,0.091608
CI,0.090974
CI,0.148114
CI,0.07579
CI,0.144382
CI,0.174063
CI,0.170332
CI,0.09013
CI,0.119361
CI,0.251648
CI,0.022519
CI,0.169916
CI,0.089401
CI,0.159785
CI,0.077433
CI,0.089259
CI,0.063222
CI,0.094182
CI,0.08372
CI,0.191056
CI,0.107629
CI,0.137256
CI,0.10808
CI,0.079148
CI,0.178715
CI,0.419961
CI,0.206037
CI,0.071301
CI,0.098384
CI,0.134909
CI,0.129097
CI,0.093055
CI,0.115643
CI,0.270235
CI,0.168076
CI,0.193859
CI,0.248465
CI,0.127583
CI,0.054954
CI,0.097458
CI,0.105753
CI,0.09552
CI,0.138262
CI,0.211831
CI,0.124475
CI,0.134487
CI,0.133854
CI,0.069632
CI,0.199452
CI,0.18044
CI,0.27379
CI,0.167301
CI,0.114415
CI,0.147241
CI,0.067969
CI,0.167583
CI,0.111026
CI,0.274412
CI,0.194195
CI,0.153656
CI,0.096147
CI,0.056473
CI,0.166624
CI,0.146508
CI,0.199547
CI,0.106837
CI,0.349137
CI,0.186815
CI,0.016867
CI,0.11771
CI,0.18648
CI,0.159688
CI,0.071608
CI,0.071827
CI,0.154174
CI,0.244263
CI,0.096733
CI,0.131723
CI,0.103776
CI,0.063719
CI,0.128982
CI,0.13741
CI,0.219139
CI,0.097889
CI,0.122848
CI,0.167413
CI,0.107639
CI,0.121882
CI,0.094547
CI,0.035369
CI,0.316238
CI,0.165796
CI,0.055126
CI,0.186672
CI,0.076408
CI,0.176983
CI,0.082092
CI,0.065743
CI,0.106308
CI,0.100143
CI,0.178435
CI,0.17777
CI,0.138441
CI,0.074655
CI,0.057514
CI,0.16101
CI,0.188454
CI,0.139437
CI,0.133612
CI,0.266304
CI,0.1485
CI,0.131071
CI,0.115605
CI,0.057636
CI,0.218449
CI,0.083975
CI,0.017265
CI,0.042982
CI,0.058857
CI,0.121944
CI,0.086427
CI,0.018154
CI,0.078853
CI,0.07265
CI,0.135554
CI,0.259926
CI,0.142659
CI,0.148057
CI,0.023109
CI,0.108591
CI,0.18816
CI,0.172746
CI,0.244413
CI,0.162407
CI,0.066684
CI,0.12039
CI,0.360333
CI,0.086335
CI,0.037426
CI,0.030215
CI,0.077366
CI,0.157732
CI,0.109275
CI,0.091672
CI,0.225578
CI,0.138223
CI,0.263975
CI,0.13497
CI,0.194713
CI,0.144188
CI,0.064743
CI,0.141654
CI,0.070195
CI,0.227834
CI,0.243136
CI,0.020911
CI,0.2582
CI,0.116831
CI,0.274265
CI,0.191408
CI,0.141469
CI,0.002791
CI,0.119662
CI,0.247949
CI,0.168419
CI,0.213389
CI,0.183251
CI,0.184508
CI,0.061195
CI,0.235163
CI,0.172343
CI,0.099959
CI,0.069924
CI,0.174755
CI,0.014527
CI,0.118115
CI,0.171581
CI+MK+ER+IE,0.588076
CI+MK+ER+IE,0.7136
CI+MK+ER+IE,0.8005
CI+MK+ER+IE,0.4786
CI+MK+ER+IE,0.62015
CI+MK+ER+IE,0.575
CI+MK+ER+IE,0.579703
CI+MK+ER+IE,0.6187
CI+MK+ER+IE,0.78765
CI+MK+ER+IE,0.54765
CI+MK+ER+IE,0.4968
CI+MK+ER+IE,0.742
CI+MK+ER+IE,0.59505
CI+MK+ER+IE,0.584679
CI+MK+ER+IE,0.489424
