structure,compartment,time_s,p_fwer
Bouton,g1,61.25,1.0
Bouton,g1,61.5,1.0
Bouton,g1,61.75,1.0
Bouton,g1,62.0,1.0
Bouton,g1,62.25,1.0
Bouton,g1,62.5,1.0
Bouton,g1,62.75,1.0
Bouton,g1,63.0,1.0
Bouton,g1,63.25,1.0
Bouton,g1,63.5,1.0
Bouton,g1,63.75,0.9968919968919969
Bouton,g1,64.0,1.0
Bouton,g1,64.25,0.22517482517482518
Bouton,g1,64.5,0.22517482517482518
Bouton,g1,64.75,0.22517482517482518
Bouton,g1,65.0,1.0
Bouton,g1,65.25,1.0
Bouton,g1,65.5,0.8271950271950272
Bouton,g1,65.75,1.0
Bouton,g1,66.0,1.0
Bouton,g1,66.25,1.0
Bouton,g1,66.5,1.0
Bouton,g1,66.75,1.0
Bouton,g1,67.0,1.0
Bouton,g1,67.25,1.0
Bouton,g1,67.5,1.0
Bouton,g1,67.75,1.0
Bouton,g1,68.0,1.0
Bouton,g1,68.25,0.19487179487179487
Bouton,g1,68.5,0.19487179487179487
Bouton,g1,68.75,0.19487179487179487
Bouton,g1,69.0,1.0
Bouton,g1,69.25,0.10007770007770007
Bouton,g1,69.5,0.10007770007770007
Bouton,g1,69.75,0.10007770007770007
Bouton,g1,70.0,0.10007770007770007
Bouton,g1,70.25,1.0
Bouton,g1,70.5,1.0
Bouton,g1,70.75,1.0
Bouton,g1,71.0,1.0
Bouton,g1,71.25,1.0
Bouton,g1,71.5,1.0
Bouton,g1,71.75,1.0
Bouton,g1,72.0,1.0
Bouton,g1,72.25,1.0
Bouton,g1,72.5,1.0
Bouton,g1,72.75,1.0
Bouton,g1,73.0,1.0
Bouton,g1,73.25,1.0
Bouton,g1,73.5,1.0
Bouton,g1,73.75,1.0
Bouton,g1,74.0,1.0
Bouton,g1,74.25,0.8121212121212121
Bouton,g1,74.5,1.0
Bouton,g1,74.75,0.9673659673659674
Bouton,g1,75.0,1.0
Bouton,g1,75.25,1.0
Bouton,g1,75.5,1.0
Bouton,g1,75.75,0.9996891996891997
Bouton,g1,76.0,1.0
Bouton,g1,76.25,1.0
Bouton,g1,76.5,1.0
Bouton,g1,76.75,0.9805749805749806
Bouton,g1,77.0,1.0
Bouton,g1,77.25,1.0
Bouton,g1,77.5,1.0
Bouton,g1,77.75,1.0
Bouton,g1,78.0,1.0
Bouton,g1,78.25,0.5306915306915307
Bouton,g1,78.5,0.5306915306915307
Bouton,g1,78.75,1.0
Bouton,g1,79.0,0.14638694638694638
Bouton,g1,79.25,0.14638694638694638
Bouton,g1,79.5,0.14638694638694638
Bouton,g1,79.75,0.14638694638694638
Bouton,g1,80.0,1.0
Bouton,g1,80.25,0.6660450660450661
Bouton,g1,80.5,0.6660450660450661
Bouton,g1,80.75,1.0
Bouton,g1,81.0,1.0
Bouton,g1,81.25,1.0
Bouton,g1,81.5,1.0
Bouton,g1,81.75,1.0
Bouton,g1,82.0,1.0
Bouton,g1,82.25,1.0
Bouton,g1,82.5,1.0
Bouton,g1,82.75,1.0
Bouton,g1,83.0,1.0
Bouton,g1,83.25,1.0
Bouton,g1,83.5,1.0
Bouton,g1,83.75,1.0
Bouton,g1,84.0,1.0
Bouton,g1,84.25,1.0
Bouton,g1,84.5,1.0
Bouton,g1,84.75,1.0
Bouton,g1,85.0,1.0
Bouton,g1,85.25,1.0
Bouton,g1,85.5,1.0
Bouton,g1,85.75,1.0
Bouton,g1,86.0,1.0
Bouton,g1,86.25,1.0
Bouton,g1,86.5,1.0
Bouton,g1,86.75,1.0
Bouton,g1,87.0,1.0
Bouton,g1,87.25,1.0
Bouton,g1,87.5,1.0
Bouton,g1,87.75,1.0
Bouton,g1,88.0,1.0
Bouton,g1,88.25,1.0
Bouton,g1,88.5,1.0
Bouton,g1,88.75,1.0
Bouton,g1,89.0,1.0
Bouton,g1,89.25,1.0
Bouton,g1,89.5,1.0
Bouton,g1,89.75,1.0
Bouton,g1,90.0,1.0
Bouton,g2,-10.0,1.0
Bouton,g2,-9.75,1.0
Bouton,g2,-9.5,1.0
Bouton,g2,-9.25,1.0
Bouton,g2,-9.0,1.0
Bouton,g2,-8.75,1.0
Bouton,g2,-8.5,1.0
Bouton,g2,-8.25,1.0
Bouton,g2,-8.0,1.0
Bouton,g2,-7.75,1.0
Bouton,g2,-7.5,1.0
Bouton,g2,-7.25,1.0
Bouton,g2,-7.0,1.0
Bouton,g2,-6.75,1.0
Bouton,g2,-6.5,1.0
Bouton,g2,-6.25,1.0
Bouton,g2,-6.0,1.0
Bouton,g2,-5.75,1.0
Bouton,g2,-5.5,1.0
Bouton,g2,-5.25,1.0
Bouton,g2,-5.0,1.0
Bouton,g2,-4.75,1.0
Bouton,g2,-4.5,1.0
Bouton,g2,-4.25,1.0
Bouton,g2,-4.0,1.0
Bouton,g2,-3.75,1.0
Bouton,g2,-3.5,1.0
Bouton,g2,-3.25,1.0
Bouton,g2,-3.0,1.0
Bouton,g2,-2.75,1.0
Bouton,g2,-2.5,1.0
Bouton,g2,-2.25,1.0
Bouton,g2,-2.0,1.0
Bouton,g2,-1.75,1.0
Bouton,g2,-1.5,1.0
Bouton,g2,-1.25,1.0
Bouton,g2,-1.0,1.0
Bouton,g2,-0.75,1.0
Bouton,g2,-0.5,1.0
Bouton,g2,-0.25,0.48935508935508937
Bouton,g2,0.0,1.0
Bouton,g2,0.25,1.0
Bouton,g2,0.5,1.0
Bouton,g2,0.75,1.0
Bouton,g2,1.0,1.0
Bouton,g2,1.25,1.0
Bouton,g2,1.5,1.0
Bouton,g2,1.75,1.0
Bouton,g2,2.0,1.0
Bouton,g2,2.25,1.0
Bouton,g2,2.5,1.0
Bouton,g2,2.75,1.0
Bouton,g2,3.0,1.0
Bouton,g2,3.25,1.0
Bouton,g2,3.5,1.0
Bouton,g2,3.75,1.0
Bouton,g2,4.0,1.0
Bouton,g2,4.25,1.0
Bouton,g2,4.5,1.0
Bouton,g2,4.75,1.0
Bouton,g2,5.0,1.0
Bouton,g2,5.25,1.0
Bouton,g2,5.5,1.0
Bouton,g2,5.75,1.0
Bouton,g2,6.0,1.0
Bouton,g2,6.25,1.0
Bouton,g2,6.5,1.0
Bouton,g2,6.75,1.0
Bouton,g2,7.0,1.0
Bouton,g2,7.25,1.0
Bouton,g2,7.5,1.0
Bouton,g2,7.75,1.0
Bouton,g2,8.0,1.0
Bouton,g2,8.25,1.0
Bouton,g2,8.5,1.0
Bouton,g2,8.75,1.0
Bouton,g2,9.0,1.0
Bouton,g2,9.25,1.0
Bouton,g2,9.5,1.0
Bouton,g2,9.75,1.0
Bouton,g2,10.0,1.0
Bouton,g2,10.25,0.7603729603729604
Bouton,g2,10.5,1.0
Bouton,g2,10.75,1.0
Bouton,g2,11.0,1.0
Bouton,g2,11.25,1.0
Bouton,g2,11.5,1.0
Bouton,g2,11.75,1.0
Bouton,g2,12.0,1.0
Bouton,g2,12.25,1.0
Bouton,g2,12.5,1.0
Bouton,g2,12.75,1.0
Bouton,g2,13.0,1.0
Bouton,g2,13.25,1.0
Bouton,g2,13.5,1.0
Bouton,g2,13.75,1.0
Bouton,g2,14.0,1.0
Bouton,g2,14.25,1.0
Bouton,g2,14.5,1.0
Bouton,g2,14.75,1.0
Bouton,g2,15.0,1.0
Bouton,g2,15.25,1.0
Bouton,g2,15.5,1.0
Bouton,g2,15.75,1.0
Bouton,g2,16.0,1.0
Bouton,g2,16.25,1.0
Bouton,g2,16.5,1.0
Bouton,g2,16.75,1.0
Bouton,g2,17.0,1.0
Bouton,g2,17.25,1.0
Bouton,g2,17.5,1.0
Bouton,g2,17.75,1.0
Bouton,g2,18.0,1.0
Bouton,g2,18.25,1.0
Bouton,g2,18.5,1.0
Bouton,g2,18.75,1.0
Bouton,g2,19.0,1.0
Bouton,g2,19.25,1.0
Bouton,g2,19.5,1.0
Bouton,g2,19.75,1.0
Bouton,g2,20.0,1.0
Bouton,g2,20.25,1.0
Bouton,g2,20.5,1.0
Bouton,g2,20.75,1.0
Bouton,g2,21.0,1.0
Bouton,g2,21.25,1.0
Bouton,g2,21.5,1.0
Bouton,g2,21.75,0.7721833721833722
Bouton,g2,22.0,1.0
Bouton,g2,22.25,1.0
Bouton,g2,22.5,1.0
Bouton,g2,22.75,1.0
Bouton,g2,23.0,1.0
Bouton,g2,23.25,1.0
Bouton,g2,23.5,1.0
Bouton,g2,23.75,1.0
Bouton,g2,24.0,1.0
Bouton,g2,24.25,1.0
Bouton,g2,24.5,1.0
Bouton,g2,24.75,1.0
Bouton,g2,25.0,1.0
Bouton,g2,25.25,1.0
Bouton,g2,25.5,1.0
Bouton,g2,25.75,1.0
Bouton,g2,26.0,1.0
Bouton,g2,26.25,1.0
Bouton,g2,26.5,1.0
Bouton,g2,26.75,1.0
Bouton,g2,27.0,1.0
Bouton,g2,27.25,1.0
Bouton,g2,27.5,1.0
Bouton,g2,27.75,1.0
Bouton,g2,28.0,1.0
Bouton,g2,28.25,1.0
Bouton,g2,28.5,1.0
Bouton,g2,28.75,1.0
Bouton,g2,29.0,1.0
