genotype,contrast,compartment,time_s,p_fwer
dnc-wt,Bouton_vs_Axon,g2,46.0,1.0
dnc-wt,Bouton_vs_Axon,g2,46.25,1.0
dnc-wt,Bouton_vs_Axon,g2,46.5,1.0
dnc-wt,Bouton_vs_Axon,g2,46.75,1.0
dnc-wt,Bouton_vs_Axon,g2,47.0,1.0
dnc-wt,Bouton_vs_Axon,g2,47.25,1.0
dnc-wt,Bouton_vs_Axon,g2,47.5,1.0
dnc-wt,Bouton_vs_Axon,g2,47.75,1.0
dnc-wt,Bouton_vs_Axon,g2,48.0,1.0
dnc-wt,Bouton_vs_Axon,g2,48.25,1.0
dnc-wt,Bouton_vs_Axon,g2,48.5,1.0
dnc-wt,Bouton_vs_Axon,g2,48.75,1.0
dnc-wt,Bouton_vs_Axon,g2,49.0,1.0
dnc-wt,Bouton_vs_Axon,g2,49.25,1.0
dnc-wt,Bouton_vs_Axon,g2,49.5,1.0
dnc-wt,Bouton_vs_Axon,g2,49.75,1.0
dnc-wt,Bouton_vs_Axon,g2,50.0,1.0
dnc-wt,Bouton_vs_Axon,g2,50.25,1.0
dnc-wt,Bouton_vs_Axon,g2,50.5,1.0
dnc-wt,Bouton_vs_Axon,g2,50.75,1.0
dnc-wt,Bouton_vs_Axon,g2,51.0,1.0
dnc-wt,Bouton_vs_Axon,g2,51.25,1.0
dnc-wt,Bouton_vs_Axon,g2,51.5,1.0
dnc-wt,Bouton_vs_Axon,g2,51.75,1.0
dnc-wt,Bouton_vs_Axon,g2,52.0,0.5
dnc-wt,Bouton_vs_Axon,g2,52.25,0.5
dnc-wt,Bouton_vs_Axon,g2,52.5,1.0
dnc-wt,Bouton_vs_Axon,g2,52.75,1.0
dnc-wt,Bouton_vs_Axon,g2,53.0,1.0
dnc-wt,Bouton_vs_Axon,g2,53.25,1.0
dnc-wt,Bouton_vs_Axon,g2,53.5,1.0
dnc-wt,Bouton_vs_Axon,g2,53.75,1.0
dnc-wt,Bouton_vs_Axon,g2,54.0,1.0
dnc-wt,Bouton_vs_Axon,g2,54.25,1.0
dnc-wt,Bouton_vs_Axon,g2,54.5,1.0
dnc-wt,Bouton_vs_Axon,g2,54.75,1.0
dnc-wt,Bouton_vs_Axon,g2,55.0,1.0
dnc-wt,Bouton_vs_Axon,g2,55.25,1.0
dnc-wt,Bouton_vs_Axon,g2,55.5,1.0
dnc-wt,Bouton_vs_Axon,g2,55.75,1.0
dnc-wt,Bouton_vs_Axon,g2,56.0,1.0
dnc-wt,Bouton_vs_Axon,g2,56.25,1.0
dnc-wt,Bouton_vs_Axon,g2,56.5,0.875
dnc-wt,Bouton_vs_Axon,g2,56.75,1.0
dnc-wt,Bouton_vs_Axon,g2,57.0,1.0
dnc-wt,Bouton_vs_Axon,g2,57.25,1.0
dnc-wt,Bouton_vs_Axon,g2,57.5,1.0
dnc-wt,Bouton_vs_Axon,g2,57.75,1.0
dnc-wt,Bouton_vs_Axon,g2,58.0,1.0
